TIMESTAMP,RESOURCES,areaConsumption
1,electricity,63685
2,electricity,60826
3,electricity,59787
4,electricity,56622
5,electricity,53920
6,electricity,52972
7,electricity,53136
8,electricity,53489
9,electricity,53535
10,electricity,53742
11,electricity,55474
12,electricity,57456
13,electricity,59844
14,electricity,61274
15,electricity,59209
16,electricity,57512
17,electricity,56986
18,electricity,58679
19,electricity,62546
20,electricity,64288
21,electricity,63647
22,electricity,61505
23,electricity,60242
24,electricity,62593
25,electricity,61235
26,electricity,57770
27,electricity,56871
28,electricity,54626
29,electricity,53488
30,electricity,54834
31,electricity,58449
32,electricity,62721
33,electricity,66708
34,electricity,68684
35,electricity,69968
36,electricity,70643
37,electricity,71838
38,electricity,72031
39,electricity,70319
40,electricity,68298
41,electricity,67602
42,electricity,69320
43,electricity,73823
44,electricity,75838
45,electricity,73298
46,electricity,69891
47,electricity,68236
48,electricity,70773
49,electricity,69512
50,electricity,65911
51,electricity,65034
52,electricity,62692
53,electricity,61474
54,electricity,62959
55,electricity,67062
56,electricity,72051
57,electricity,76108
58,electricity,77516
59,electricity,78093
60,electricity,77811
61,electricity,77817
62,electricity,76709
63,electricity,74499
64,electricity,72142
65,electricity,71305
66,electricity,73245
67,electricity,78207
68,electricity,80207
69,electricity,77545
70,electricity,73945
71,electricity,72047
72,electricity,74436
73,electricity,73041
74,electricity,69528
75,electricity,68686
76,electricity,66477
77,electricity,65272
78,electricity,66512
79,electricity,70414
80,electricity,75330
81,electricity,79386
82,electricity,80895
83,electricity,81499
84,electricity,81309
85,electricity,80938
86,electricity,79687
87,electricity,77175
88,electricity,74650
89,electricity,73559
90,electricity,75118
91,electricity,79592
92,electricity,80916
93,electricity,78052
94,electricity,74653
95,electricity,72924
96,electricity,75252
97,electricity,73795
98,electricity,69880
99,electricity,68583
100,electricity,65721
101,electricity,63806
102,electricity,63785
103,electricity,65270
104,electricity,67393
105,electricity,69679
106,electricity,71783
107,electricity,73397
108,electricity,73854
109,electricity,74890
110,electricity,75089
111,electricity,72396
112,electricity,69895
113,electricity,68767
114,electricity,69931
115,electricity,73770
116,electricity,75463
117,electricity,73478
118,electricity,70647
119,electricity,69401
120,electricity,71946
121,electricity,71092
122,electricity,67467
123,electricity,66118
124,electricity,63066
125,electricity,60732
126,electricity,60047
127,electricity,60846
128,electricity,62084
129,electricity,63656
130,electricity,65576
131,electricity,68346
132,electricity,70447
133,electricity,72600
134,electricity,73054
135,electricity,69514
136,electricity,67158
137,electricity,66039
138,electricity,67151
139,electricity,71964
140,electricity,74583
141,electricity,73392
142,electricity,70600
143,electricity,68476
144,electricity,70669
145,electricity,69318
146,electricity,65909
147,electricity,65046
148,electricity,62524
149,electricity,61142
150,electricity,62800
151,electricity,67824
152,electricity,74687
153,electricity,78674
154,electricity,79044
155,electricity,79184
156,electricity,79395
157,electricity,79845
158,electricity,79438
159,electricity,77774
160,electricity,75760
161,electricity,74953
162,electricity,76115
163,electricity,79850
164,electricity,81581
165,electricity,77462
166,electricity,73143
167,electricity,70471
168,electricity,72310
169,electricity,70462
170,electricity,66490
171,electricity,65399
172,electricity,62859
173,electricity,61253
174,electricity,62468
175,electricity,67219
176,electricity,74158
177,electricity,77692
178,electricity,77638
179,electricity,77538
180,electricity,77493
181,electricity,77531
182,electricity,77014
183,electricity,75636
184,electricity,73694
185,electricity,72854
186,electricity,73904
187,electricity,78243
188,electricity,80050
189,electricity,76447
190,electricity,72283
191,electricity,69804
192,electricity,71699
193,electricity,69990
194,electricity,66163
195,electricity,65111
196,electricity,62736
197,electricity,61456
198,electricity,63124
199,electricity,67914
200,electricity,74375
201,electricity,78616
202,electricity,79502
203,electricity,79440
204,electricity,79033
205,electricity,79244
206,electricity,78801
207,electricity,77530
208,electricity,75790
209,electricity,75070
210,electricity,76430
211,electricity,81090
212,electricity,83123
213,electricity,80006
214,electricity,75556
215,electricity,73223
216,electricity,75113
217,electricity,73700
218,electricity,70274
219,electricity,69316
220,electricity,67114
221,electricity,65802
222,electricity,67264
223,electricity,72404
224,electricity,80139
225,electricity,84043
226,electricity,84296
227,electricity,83664
228,electricity,83010
229,electricity,82543
230,electricity,81602
231,electricity,79831
232,electricity,77838
233,electricity,77341
234,electricity,78827
235,electricity,83861
236,electricity,85984
237,electricity,82160
238,electricity,76843
239,electricity,74744
240,electricity,76771
241,electricity,75159
242,electricity,71306
243,electricity,70421
244,electricity,68152
245,electricity,66841
246,electricity,68233
247,electricity,73087
248,electricity,79997
249,electricity,83486
250,electricity,83544
251,electricity,83129
252,electricity,82604
253,electricity,82102
254,electricity,80958
255,electricity,78497
256,electricity,76264
257,electricity,75115
258,electricity,76205
259,electricity,80387
260,electricity,81471
261,electricity,78292
262,electricity,74497
263,electricity,72477
264,electricity,74580
265,electricity,72659
266,electricity,68868
267,electricity,67490
268,electricity,64266
269,electricity,62386
270,electricity,62090
271,electricity,63620
272,electricity,65859
273,electricity,68561
274,electricity,70722
275,electricity,72293
276,electricity,72313
277,electricity,73223
278,electricity,73026
279,electricity,70041
280,electricity,67787
281,electricity,66698
282,electricity,67472
283,electricity,71288
284,electricity,72884
285,electricity,70385
286,electricity,67350
287,electricity,65702
288,electricity,68524
289,electricity,67167
290,electricity,63333
291,electricity,61936
292,electricity,58594
293,electricity,56100
294,electricity,55391
295,electricity,56088
296,electricity,57199
297,electricity,58758
298,electricity,60835
299,electricity,63660
300,electricity,65278
301,electricity,66913
302,electricity,66975
303,electricity,63512
304,electricity,60977
305,electricity,59679
306,electricity,60754
307,electricity,65334
308,electricity,68033
309,electricity,66315
310,electricity,63686
311,electricity,61894
312,electricity,64003
313,electricity,63047
314,electricity,59775
315,electricity,58661
316,electricity,56246
317,electricity,54819
318,electricity,56584
319,electricity,61923
320,electricity,69183
321,electricity,73242
322,electricity,73489
323,electricity,73423
324,electricity,73388
325,electricity,73635
326,electricity,73217
327,electricity,71926
328,electricity,70176
329,electricity,69523
330,electricity,70503
331,electricity,75113
332,electricity,77350
333,electricity,73736
334,electricity,69194
335,electricity,66664
336,electricity,68923
337,electricity,67483
338,electricity,63608
339,electricity,62594
340,electricity,60218
341,electricity,59133
342,electricity,60686
343,electricity,66077
344,electricity,73661
345,electricity,77585
346,electricity,77561
347,electricity,76727
348,electricity,75731
349,electricity,75479
350,electricity,74585
351,electricity,72620
352,electricity,70429
353,electricity,69528
354,electricity,70715
355,electricity,75765
356,electricity,78234
357,electricity,75193
358,electricity,71097
359,electricity,68827
360,electricity,71348
361,electricity,69905
362,electricity,66240
363,electricity,65451
364,electricity,63369
365,electricity,62297
366,electricity,63988
367,electricity,69351
368,electricity,76482
369,electricity,80640
370,electricity,81083
371,electricity,80336
372,electricity,79644
373,electricity,78991
374,electricity,77562
375,electricity,75367
376,electricity,72851
377,electricity,71927
378,electricity,72813
379,electricity,77384
380,electricity,79521
381,electricity,75609
382,electricity,70979
383,electricity,68320
384,electricity,70120
385,electricity,68515
386,electricity,64725
387,electricity,63706
388,electricity,61175
389,electricity,59472
390,electricity,60685
391,electricity,65690
392,electricity,73223
393,electricity,76679
394,electricity,76735
395,electricity,76661
396,electricity,76478
397,electricity,76284
398,electricity,75043
399,electricity,73233
400,electricity,71496
401,electricity,70613
402,electricity,71776
403,electricity,77229
404,electricity,80109
405,electricity,76903
406,electricity,72977
407,electricity,70796
408,electricity,73228
409,electricity,72029
410,electricity,68357
411,electricity,67501
412,electricity,64992
413,electricity,64257
414,electricity,65894
415,electricity,71100
416,electricity,78593
417,electricity,82628
418,electricity,82912
419,electricity,82285
420,electricity,81473
421,electricity,80546
422,electricity,79042
423,electricity,76560
424,electricity,73927
425,electricity,72675
426,electricity,73736
427,electricity,79030
428,electricity,80991
429,electricity,78000
430,electricity,74577
431,electricity,72902
432,electricity,75297
433,electricity,73555
434,electricity,69715
435,electricity,68626
436,electricity,65791
437,electricity,63961
438,electricity,64018
439,electricity,65714
440,electricity,68283
441,electricity,71048
442,electricity,73778
443,electricity,75195
444,electricity,75158
445,electricity,75706
446,electricity,75017
447,electricity,71521
448,electricity,68568
449,electricity,67171
450,electricity,67849
451,electricity,72791
452,electricity,75067
453,electricity,73174
454,electricity,70308
455,electricity,68953
456,electricity,71805
457,electricity,71029
458,electricity,67266
