TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,OldNuke,0.8854
2,OldNuke,0.8737
3,OldNuke,0.8712
4,OldNuke,0.853
5,OldNuke,0.8097
6,OldNuke,0.7776
7,OldNuke,0.766
8,OldNuke,0.7628
9,OldNuke,0.7627
10,OldNuke,0.7841
11,OldNuke,0.8046
12,OldNuke,0.8177
13,OldNuke,0.8299
14,OldNuke,0.8338
15,OldNuke,0.8348
16,OldNuke,0.84
17,OldNuke,0.8439
18,OldNuke,0.8593
19,OldNuke,0.8737
20,OldNuke,0.883
21,OldNuke,0.8843
22,OldNuke,0.8836
23,OldNuke,0.8744
24,OldNuke,0.8753
25,OldNuke,0.8768
26,OldNuke,0.86
27,OldNuke,0.8577
28,OldNuke,0.8288
29,OldNuke,0.8204
30,OldNuke,0.8343
31,OldNuke,0.8667
32,OldNuke,0.878
33,OldNuke,0.8878
34,OldNuke,0.8904
35,OldNuke,0.8905
36,OldNuke,0.8907
37,OldNuke,0.8911
38,OldNuke,0.89
39,OldNuke,0.8892
40,OldNuke,0.8887
41,OldNuke,0.8876
42,OldNuke,0.8881
43,OldNuke,0.8897
44,OldNuke,0.8904
45,OldNuke,0.8896
46,OldNuke,0.8894
47,OldNuke,0.8861
48,OldNuke,0.886
49,OldNuke,0.8871
50,OldNuke,0.8808
51,OldNuke,0.8794
52,OldNuke,0.8822
53,OldNuke,0.8799
54,OldNuke,0.8841
55,OldNuke,0.8839
56,OldNuke,0.8899
57,OldNuke,0.8907
58,OldNuke,0.8926
59,OldNuke,0.8932
60,OldNuke,0.8929
61,OldNuke,0.8924
62,OldNuke,0.8921
63,OldNuke,0.8916
64,OldNuke,0.891
65,OldNuke,0.8913
66,OldNuke,0.8895
67,OldNuke,0.8889
68,OldNuke,0.8906
69,OldNuke,0.8912
70,OldNuke,0.8903
71,OldNuke,0.8883
72,OldNuke,0.8882
73,OldNuke,0.8877
74,OldNuke,0.8854
75,OldNuke,0.8863
76,OldNuke,0.8837
77,OldNuke,0.8787
78,OldNuke,0.8837
79,OldNuke,0.8865
80,OldNuke,0.8892
81,OldNuke,0.8916
82,OldNuke,0.8923
83,OldNuke,0.8919
84,OldNuke,0.8914
85,OldNuke,0.8923
86,OldNuke,0.893
87,OldNuke,0.8922
88,OldNuke,0.8916
89,OldNuke,0.8921
90,OldNuke,0.8922
91,OldNuke,0.8916
92,OldNuke,0.892
93,OldNuke,0.8923
94,OldNuke,0.8927
95,OldNuke,0.8901
96,OldNuke,0.8832
97,OldNuke,0.8621
98,OldNuke,0.8516
99,OldNuke,0.8501
100,OldNuke,0.8485
101,OldNuke,0.8516
102,OldNuke,0.849
103,OldNuke,0.8513
104,OldNuke,0.8535
105,OldNuke,0.8464
106,OldNuke,0.8481
107,OldNuke,0.8472
108,OldNuke,0.851
109,OldNuke,0.8539
110,OldNuke,0.8578
111,OldNuke,0.8598
112,OldNuke,0.8575
113,OldNuke,0.8613
114,OldNuke,0.8681
115,OldNuke,0.8693
116,OldNuke,0.8693
117,OldNuke,0.871
118,OldNuke,0.8708
119,OldNuke,0.8681
120,OldNuke,0.8627
121,OldNuke,0.8576
122,OldNuke,0.8487
123,OldNuke,0.8474
124,OldNuke,0.8458
125,OldNuke,0.8417
126,OldNuke,0.8492
127,OldNuke,0.8618
128,OldNuke,0.87
129,OldNuke,0.8689
130,OldNuke,0.8721
131,OldNuke,0.8738
132,OldNuke,0.8762
133,OldNuke,0.8781
134,OldNuke,0.877
135,OldNuke,0.8745
136,OldNuke,0.8735
137,OldNuke,0.8785
138,OldNuke,0.8856
139,OldNuke,0.8923
140,OldNuke,0.8921
141,OldNuke,0.8912
142,OldNuke,0.8885
143,OldNuke,0.8895
144,OldNuke,0.8897
145,OldNuke,0.8859
146,OldNuke,0.8865
147,OldNuke,0.8851
148,OldNuke,0.8747
149,OldNuke,0.872
150,OldNuke,0.8818
