,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,WindOnShore,-0.0
1,Marseille,2020,CCS2,-0.0
2,Marseille,2020,WindOffShore_flot,-0.0
3,Marseille,2020,CCS1,-0.0
4,Marseille,2020,curtailment,0.0
5,Marseille,2020,Solar,-0.0
6,Marseille,2020,SMR + CCS1,-0.0
7,Marseille,2020,SMR + CCS2,-0.0
8,Marseille,2020,electrolysis_PEMEL,-0.0
9,Marseille,2020,SMR,9128548.42460624
10,Marseille,2020,electrolysis_AEL,-0.0
11,Marseille,2030,WindOnShore,-0.0
12,Marseille,2030,CCS2,-0.0
13,Marseille,2030,WindOffShore_flot,-0.0
14,Marseille,2030,CCS1,4769309.394453671
15,Marseille,2030,curtailment,0.0
16,Marseille,2030,Solar,-0.0
17,Marseille,2030,SMR + CCS1,11424963.27793925
18,Marseille,2030,SMR + CCS2,-0.0
19,Marseille,2030,electrolysis_PEMEL,-0.0
20,Marseille,2030,SMR,1220549.2056106178
21,Marseille,2030,electrolysis_AEL,-0.0
22,Marseille,2040,WindOnShore,379721.60807022237
23,Marseille,2040,CCS2,-0.0
24,Marseille,2040,WindOffShore_flot,-0.0
25,Marseille,2040,CCS1,3221974.536937167
26,Marseille,2040,curtailment,0.0
27,Marseille,2040,Solar,-0.0
28,Marseille,2040,SMR + CCS1,7718295.8207263
29,Marseille,2040,SMR + CCS2,-0.0
30,Marseille,2040,electrolysis_PEMEL,-0.0
31,Marseille,2040,SMR,824559.3095993258
32,Marseille,2040,electrolysis_AEL,16410286.502882404
33,Marseille,2050,WindOnShore,2090979.184929867
34,Marseille,2050,CCS2,-0.0
35,Marseille,2050,WindOffShore_flot,-0.0
36,Marseille,2050,CCS1,2176650.5500238445
37,Marseille,2050,curtailment,0.0
38,Marseille,2050,Solar,845860.5511969472
39,Marseille,2050,SMR + CCS1,5214204.100880599
40,Marseille,2050,SMR + CCS2,-0.0
41,Marseille,2050,electrolysis_PEMEL,-0.0
42,Marseille,2050,SMR,5144810.39096545
43,Marseille,2050,electrolysis_AEL,19569703.457614608
