,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,France,2020,gazBio,-0.0
1,France,2020,electricity,-0.0
2,France,2020,hydrogen,-0.0
3,France,2020,gazNat,224962571.93326855
4,France,2020,uranium,1930083941.4786062
5,France,2020,gaz,-0.0
6,France,2030,gazBio,624415171.0441827
7,France,2030,electricity,-0.0
8,France,2030,hydrogen,-0.0
9,France,2030,gazNat,9697892.981659262
10,France,2030,uranium,1107890183.780603
11,France,2030,gaz,-0.0
12,France,2040,gazBio,71209168.39850144
13,France,2040,electricity,-0.0
14,France,2040,hydrogen,-0.0
15,France,2040,gazNat,-0.0
16,France,2040,uranium,487799698.3571227
17,France,2040,gaz,-0.0
18,France,2050,gazBio,44675385.68427671
19,France,2050,electricity,-0.0
20,France,2050,hydrogen,-0.0
21,France,2050,gazNat,-0.0
22,France,2050,uranium,226006537.85961187
23,France,2050,gaz,-0.0
