,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,France,2020,WindOnShore,2321383201.203334
1,France,2020,curtailment,0.0
2,France,2020,TAC_H2,-0.0
3,France,2020,HydroReservoir,1007805072.4245939
4,France,2020,CCG,140204286.9351019
5,France,2020,Coal_p,240984794.17756128
6,France,2020,electrolysis_AEL,70409558.23516944
7,France,2020,Solar,2807023087.9213915
8,France,2020,CCG_H2,-0.0
9,France,2020,TAC,279409097.7653199
10,France,2020,WindOffShore,508607445.0907039
11,France,2020,IntercoIn,57269994.90503852
12,France,2020,HydroRiver,739057053.1113689
13,France,2020,OldNuke,0.0
14,France,2020,IntercoOut,0.0
15,France,2020,NewNuke,-0.0
16,France,2030,WindOnShore,1185020027.620239
17,France,2030,curtailment,0.0
18,France,2030,TAC_H2,-0.0
19,France,2030,HydroReservoir,98625625.63677506
20,France,2030,CCG,17462903.39866319
21,France,2030,Coal_p,7502336.045079279
22,France,2030,electrolysis_AEL,118848731.96789175
23,France,2030,Solar,988781718.6916072
24,France,2030,CCG_H2,-0.0
25,France,2030,TAC,24382592.146507658
26,France,2030,WindOffShore,1421824249.8222456
27,France,2030,IntercoIn,138787807.31695098
28,France,2030,HydroRiver,76118617.50153723
29,France,2030,OldNuke,0.0
30,France,2030,IntercoOut,0.0
31,France,2030,NewNuke,1050549804.0736618
32,France,2040,WindOnShore,1142725777.743518
33,France,2040,curtailment,0.0
34,France,2040,TAC_H2,586309.3802387274
35,France,2040,HydroReservoir,85846854.59741618
36,France,2040,CCG,5068309.414545812
37,France,2040,Coal_p,-0.0
38,France,2040,electrolysis_AEL,140653038.0122441
39,France,2040,Solar,1234819028.4498174
40,France,2040,CCG_H2,-0.0
41,France,2040,TAC,-0.0
42,France,2040,WindOffShore,1778366930.5104198
43,France,2040,IntercoIn,124592707.99619748
44,France,2040,HydroRiver,70641926.35377875
45,France,2040,OldNuke,0.0
46,France,2040,IntercoOut,0.0
47,France,2040,NewNuke,1792422518.1941605
48,France,2050,WindOnShore,1168471066.5205512
49,France,2050,curtailment,0.0
50,France,2050,TAC_H2,396089.6091357451
51,France,2050,HydroReservoir,64486864.407839164
52,France,2050,CCG,3423968.2369896118
53,France,2050,Coal_p,-0.0
54,France,2050,electrolysis_AEL,111032280.35687178
55,France,2050,Solar,1135656454.724579
56,France,2050,CCG_H2,-0.0
57,France,2050,TAC,-0.0
58,France,2050,WindOffShore,1445201993.6627235
59,France,2050,IntercoIn,95985891.38167116
60,France,2050,HydroRiver,54214959.69687033
61,France,2050,OldNuke,0.0
62,France,2050,IntercoOut,0.0
63,France,2050,NewNuke,1453992672.6884656
