,AREA,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,France,2010,WindOnShore,24885.0
1,France,2010,curtailment,100000.0
2,France,2010,TAC_H2,0.0
3,France,2010,HydroReservoir,100000.0
4,France,2010,CCG,100000.0
5,France,2010,Coal_p,3500.0
6,France,2010,electrolysis_AEL,912.5
7,France,2010,Solar,22270.0
8,France,2010,CCG_H2,0.0
9,France,2010,TAC,6800.0
10,France,2010,WindOffShore,2600.0
11,France,2010,IntercoIn,7247.959951384157
12,France,2010,HydroRiver,100000.0
13,France,2010,OldNuke,100000.0
14,France,2010,IntercoOut,0.0
15,France,2010,NewNuke,0.0
16,France,2020,WindOnShore,15315.0
17,France,2020,curtailment,100000.0
18,France,2020,TAC_H2,0.0
19,France,2020,HydroReservoir,500.0
20,France,2020,CCG,0.0
21,France,2020,Coal_p,0.0
22,France,2020,electrolysis_AEL,1840.0566036548098
23,France,2020,Solar,35080.0
24,France,2020,CCG_H2,0.0
25,France,2020,TAC,0.0
26,France,2020,WindOffShore,10450.0
27,France,2020,IntercoIn,18752.040048615843
28,France,2020,HydroRiver,500.0
29,France,2020,OldNuke,100000.0
30,France,2020,IntercoOut,0.0
31,France,2020,NewNuke,3300.0
32,France,2030,WindOnShore,12400.0
33,France,2030,curtailment,100000.0
34,France,2030,TAC_H2,26.950229681503306
35,France,2030,HydroReservoir,1000.0
36,France,2030,CCG,0.0
37,France,2030,Coal_p,0.0
38,France,2030,electrolysis_AEL,5186.2555505453865
39,France,2030,Solar,41450.0
40,France,2030,CCG_H2,0.0
41,France,2030,TAC,0.0
42,France,2030,WindOffShore,22500.0
43,France,2030,IntercoIn,8550.000000000002
44,France,2030,HydroRiver,1000.0
45,France,2030,OldNuke,100000.0
46,France,2030,IntercoOut,0.0
47,France,2030,NewNuke,6600.0
48,France,2040,WindOnShore,30285.0
49,France,2040,curtailment,100000.0
50,France,2040,TAC_H2,0.0
51,France,2040,HydroReservoir,500.0
52,France,2040,CCG,0.0
53,France,2040,Coal_p,0.0
54,France,2040,electrolysis_AEL,5359.3247572032615
55,France,2040,Solar,41470.0
56,France,2040,CCG_H2,0.0
57,France,2040,TAC,0.0
58,France,2040,WindOffShore,12050.0
59,France,2040,IntercoIn,4849.999999999997
60,France,2040,HydroRiver,500.0
61,France,2040,OldNuke,100000.0
62,France,2040,IntercoOut,0.0
63,France,2040,NewNuke,3300.0
