,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,-9.390831611409864e-12
7,Marseille,2030,hydrogen,-0.0
8,Marseille,2030,gazBio,-0.0
9,Marseille,2030,gazNat,59376643.85692931
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,3996891.703567397
12,Marseille,2040,hydrogen,-0.0
13,Marseille,2040,gazBio,-0.0
14,Marseille,2040,gazNat,30167123.7302198
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,4159987.823703895
17,Marseille,2050,hydrogen,8129.408070917408
18,Marseille,2050,gazBio,2941079.773221012
19,Marseille,2050,gazNat,4049149.173204605
