,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCH,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,HCE,-2.4501473646900055e-17
6,Marseille,2030,P,9.18805261758752e-18
7,Marseille,2030,HPH,-2.4501473646900055e-17
8,Marseille,2030,HCH,-2.4501473646900055e-17
9,Marseille,2030,HPE,-2.4501473646900055e-17
10,Marseille,2040,HCE,1573.7515445252557
11,Marseille,2040,P,1572.5323581428318
12,Marseille,2040,HPH,1573.7515445252557
13,Marseille,2040,HCH,1573.7515445252557
14,Marseille,2040,HPE,1573.7515445252557
15,Marseille,2050,HCE,3366.313779414747
16,Marseille,2050,P,3336.1834156221557
17,Marseille,2050,HPH,3366.313779414747
18,Marseille,2050,HCH,3366.313779414747
19,Marseille,2050,HPE,3366.313779414747
