,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,Marseille,2010,tankH2_G,-0.0
1,Marseille,2010,saltCavernH2_G,0.0
2,Marseille,2010,Battery,0.0
3,Marseille,2020,tankH2_G,-2.524354896707238e-29
4,Marseille,2020,saltCavernH2_G,0.0
5,Marseille,2020,Battery,0.0
6,Marseille,2030,tankH2_G,556.2881423959308
7,Marseille,2030,saltCavernH2_G,106.1859455045437
8,Marseille,2030,Battery,0.0
9,Marseille,2040,tankH2_G,782.7633675794463
10,Marseille,2040,saltCavernH2_G,542.4775471483858
11,Marseille,2040,Battery,0.0
