,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,hydrogen,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gazBio,-0.0
5,Marseille,2030,hydrogen,3.8381258722049135e-12
6,Marseille,2030,electricity,4.596072572568957e-12
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,gazNat,60698184.95584421
9,Marseille,2030,gazBio,-0.0
10,Marseille,2040,hydrogen,-0.0
11,Marseille,2040,electricity,3211071.609367982
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,gazNat,32212114.77410203
14,Marseille,2040,gazBio,-0.0
15,Marseille,2050,hydrogen,-0.0
16,Marseille,2050,electricity,3662206.0577839646
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,gazNat,5869094.369934096
19,Marseille,2050,gazBio,3659214.387817786
