,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,tankH2_G,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,Battery,-0.0
3,Marseille,2030,tankH2_G,-2.8848682944185175e-25
4,Marseille,2030,saltCavernH2_G,-0.0
5,Marseille,2030,Battery,-0.0
6,Marseille,2040,tankH2_G,1504400.5939751486
7,Marseille,2040,saltCavernH2_G,1788740.675735706
8,Marseille,2040,Battery,-0.0
9,Marseille,2050,tankH2_G,4691731.249013898
10,Marseille,2050,saltCavernH2_G,6476382.162794332
11,Marseille,2050,Battery,-0.0
