,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,electricity,-1.4093343978036527e-11
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,gazNat,60673219.046515465
9,Marseille,2030,hydrogen,1.6202895405802103e-14
10,Marseille,2040,electricity,3449852.808948027
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,gazNat,32738066.184523545
14,Marseille,2040,hydrogen,-0.0
15,Marseille,2050,electricity,3712684.2669350235
16,Marseille,2050,gazBio,3590086.295857562
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,gazNat,6221077.187969581
19,Marseille,2050,hydrogen,-0.0
