TIMESTAMP,HTB,Calendrier
1,5.7,HCH
2,5.7,HCH
3,5.7,HCH
4,5.7,HCH
5,5.7,HCH
6,5.7,HCH
7,5.7,HCH
8,8.3,HPH
9,8.3,HPH
10,10.3,P
11,10.3,P
12,8.3,HPH
13,8.3,HPH
14,8.3,HPH
15,8.3,HPH
16,8.3,HPH
17,8.3,HPH
18,8.3,HPH
19,10.3,P
20,10.3,P
21,8.3,HPH
22,8.3,HPH
23,8.3,HPH
24,5.7,HCH
25,5.7,HCH
26,5.7,HCH
27,5.7,HCH
28,5.7,HCH
29,5.7,HCH
30,5.7,HCH
31,5.7,HCH
32,8.3,HPH
33,8.3,HPH
34,10.3,P
35,10.3,P
36,8.3,HPH
37,8.3,HPH
38,8.3,HPH
39,8.3,HPH
40,8.3,HPH
41,8.3,HPH
42,8.3,HPH
43,10.3,P
44,10.3,P
45,8.3,HPH
46,8.3,HPH
47,8.3,HPH
48,5.7,HCH
49,5.7,HCH
50,5.7,HCH
51,5.7,HCH
52,5.7,HCH
53,5.7,HCH
54,5.7,HCH
55,5.7,HCH
56,8.3,HPH
57,8.3,HPH
58,10.3,P
59,10.3,P
60,8.3,HPH
61,8.3,HPH
62,8.3,HPH
63,8.3,HPH
64,8.3,HPH
65,8.3,HPH
66,8.3,HPH
67,10.3,P
68,10.3,P
69,8.3,HPH
70,8.3,HPH
71,8.3,HPH
72,5.7,HCH
73,5.7,HCH
74,5.7,HCH
75,5.7,HCH
76,5.7,HCH
77,5.7,HCH
78,5.7,HCH
79,5.7,HCH
80,8.3,HPH
81,8.3,HPH
82,10.3,P
83,10.3,P
84,8.3,HPH
85,8.3,HPH
86,8.3,HPH
87,8.3,HPH
88,8.3,HPH
89,8.3,HPH
90,8.3,HPH
91,10.3,P
92,10.3,P
93,8.3,HPH
94,8.3,HPH
95,8.3,HPH
96,5.7,HCH
97,5.7,HCH
98,5.7,HCH
99,5.7,HCH
100,5.7,HCH
101,5.7,HCH
102,5.7,HCH
103,5.7,HCH
104,8.3,HPH
105,8.3,HPH
106,10.3,P
107,10.3,P
108,8.3,HPH
109,8.3,HPH
110,8.3,HPH
111,8.3,HPH
112,8.3,HPH
113,8.3,HPH
114,8.3,HPH
115,10.3,P
116,10.3,P
117,8.3,HPH
118,8.3,HPH
119,8.3,HPH
120,5.7,HCH
121,5.7,HCH
122,5.7,HCH
123,5.7,HCH
124,5.7,HCH
125,5.7,HCH
126,5.7,HCH
127,5.7,HCH
128,8.3,HPH
129,8.3,HPH
130,10.3,P
131,10.3,P
132,8.3,HPH
133,8.3,HPH
134,8.3,HPH
135,8.3,HPH
136,8.3,HPH
137,8.3,HPH
138,8.3,HPH
139,10.3,P
140,10.3,P
141,8.3,HPH
142,8.3,HPH
143,8.3,HPH
144,5.7,HCH
145,5.7,HCH
146,5.7,HCH
147,5.7,HCH
148,5.7,HCH
149,5.7,HCH
150,5.7,HCH
151,5.7,HCH
152,8.3,HPH
153,8.3,HPH
154,10.3,P
155,10.3,P
156,8.3,HPH
157,8.3,HPH
158,8.3,HPH
159,8.3,HPH
160,8.3,HPH
161,8.3,HPH
162,8.3,HPH
163,10.3,P
164,10.3,P
165,8.3,HPH
166,8.3,HPH
167,8.3,HPH
168,5.7,HCH
169,5.7,HCH
170,5.7,HCH
171,5.7,HCH
172,5.7,HCH
173,5.7,HCH
174,5.7,HCH
175,5.7,HCH
176,8.3,HPH
177,8.3,HPH
178,10.3,P
179,10.3,P
180,8.3,HPH
181,8.3,HPH
182,8.3,HPH
183,8.3,HPH
184,8.3,HPH
185,8.3,HPH
186,8.3,HPH
187,10.3,P
188,10.3,P
189,8.3,HPH
190,8.3,HPH
191,8.3,HPH
192,5.7,HCH
193,5.7,HCH
194,5.7,HCH
195,5.7,HCH
196,5.7,HCH
197,5.7,HCH
198,5.7,HCH
199,5.7,HCH
200,8.3,HPH
201,8.3,HPH
202,10.3,P
203,10.3,P
204,8.3,HPH
205,8.3,HPH
206,8.3,HPH
207,8.3,HPH
208,8.3,HPH
209,8.3,HPH
210,8.3,HPH
211,10.3,P
212,10.3,P
213,8.3,HPH
214,8.3,HPH
215,8.3,HPH
216,5.7,HCH
217,5.7,HCH
218,5.7,HCH
219,5.7,HCH
220,5.7,HCH
221,5.7,HCH
222,5.7,HCH
223,5.7,HCH
224,8.3,HPH
225,8.3,HPH
226,10.3,P
227,10.3,P
228,8.3,HPH
229,8.3,HPH
230,8.3,HPH
231,8.3,HPH
232,8.3,HPH
233,8.3,HPH
234,8.3,HPH
235,10.3,P
236,10.3,P
237,8.3,HPH
238,8.3,HPH
239,8.3,HPH
240,5.7,HCH
241,5.7,HCH
242,5.7,HCH
243,5.7,HCH
244,5.7,HCH
245,5.7,HCH
246,5.7,HCH
247,5.7,HCH
248,8.3,HPH
249,8.3,HPH
250,10.3,P
251,10.3,P
252,8.3,HPH
253,8.3,HPH
254,8.3,HPH
255,8.3,HPH
256,8.3,HPH
257,8.3,HPH
258,8.3,HPH
259,10.3,P
260,10.3,P
261,8.3,HPH
262,8.3,HPH
263,8.3,HPH
264,5.7,HCH
265,5.7,HCH
266,5.7,HCH
267,5.7,HCH
268,5.7,HCH
