,AREA,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDem_Dvar
0,Marseille,2010,2010,SolarPPA,0.0
1,Marseille,2010,2010,WindOffShore_flot,0.0
2,Marseille,2010,2010,WindOnShorePPA,0.0
3,Marseille,2010,2010,electrolysis_AEL,0.0
4,Marseille,2010,2010,SMR,0.0
5,Marseille,2010,2010,Solar,0.0
6,Marseille,2010,2010,WindOffShorePPA,0.0
7,Marseille,2010,2010,curtailment,100000.0
8,Marseille,2010,2010,WindOnShore,0.0
9,Marseille,2010,2020,SolarPPA,0.0
10,Marseille,2010,2020,WindOffShore_flot,0.0
11,Marseille,2010,2020,WindOnShorePPA,0.0
12,Marseille,2010,2020,electrolysis_AEL,0.0
13,Marseille,2010,2020,SMR,411.0
14,Marseille,2010,2020,Solar,0.0
15,Marseille,2010,2020,WindOffShorePPA,0.0
16,Marseille,2010,2020,curtailment,0.0
17,Marseille,2010,2020,WindOnShore,0.0
18,Marseille,2020,2010,SolarPPA,0.0
19,Marseille,2020,2010,WindOffShore_flot,0.0
20,Marseille,2020,2010,WindOnShorePPA,0.0
21,Marseille,2020,2010,electrolysis_AEL,0.0
22,Marseille,2020,2010,SMR,0.0
23,Marseille,2020,2010,Solar,0.0
24,Marseille,2020,2010,WindOffShorePPA,0.0
25,Marseille,2020,2010,curtailment,0.0
26,Marseille,2020,2010,WindOnShore,0.0
27,Marseille,2020,2020,SolarPPA,0.0
28,Marseille,2020,2020,WindOffShore_flot,0.0
29,Marseille,2020,2020,WindOnShorePPA,0.0
30,Marseille,2020,2020,electrolysis_AEL,0.0
31,Marseille,2020,2020,SMR,0.0
32,Marseille,2020,2020,Solar,0.0
33,Marseille,2020,2020,WindOffShorePPA,0.0
34,Marseille,2020,2020,curtailment,0.0
35,Marseille,2020,2020,WindOnShore,0.0
