,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,Marseille,2010,SolarPPA,SolarPPA,0.0
1,Marseille,2010,SolarPPA,WindOffShore_flot,0.0
2,Marseille,2010,SolarPPA,WindOnShorePPA,0.0
3,Marseille,2010,SolarPPA,electrolysis_AEL,0.0
4,Marseille,2010,SolarPPA,SMR,0.0
5,Marseille,2010,SolarPPA,Solar,0.0
6,Marseille,2010,SolarPPA,WindOffShorePPA,0.0
7,Marseille,2010,SolarPPA,curtailment,0.0
8,Marseille,2010,SolarPPA,WindOnShore,0.0
9,Marseille,2010,WindOffShore_flot,SolarPPA,0.0
10,Marseille,2010,WindOffShore_flot,WindOffShore_flot,0.0
11,Marseille,2010,WindOffShore_flot,WindOnShorePPA,0.0
12,Marseille,2010,WindOffShore_flot,electrolysis_AEL,0.0
13,Marseille,2010,WindOffShore_flot,SMR,0.0
14,Marseille,2010,WindOffShore_flot,Solar,0.0
15,Marseille,2010,WindOffShore_flot,WindOffShorePPA,0.0
16,Marseille,2010,WindOffShore_flot,curtailment,0.0
17,Marseille,2010,WindOffShore_flot,WindOnShore,0.0
18,Marseille,2010,WindOnShorePPA,SolarPPA,0.0
19,Marseille,2010,WindOnShorePPA,WindOffShore_flot,0.0
20,Marseille,2010,WindOnShorePPA,WindOnShorePPA,0.0
21,Marseille,2010,WindOnShorePPA,electrolysis_AEL,0.0
22,Marseille,2010,WindOnShorePPA,SMR,0.0
23,Marseille,2010,WindOnShorePPA,Solar,0.0
24,Marseille,2010,WindOnShorePPA,WindOffShorePPA,0.0
25,Marseille,2010,WindOnShorePPA,curtailment,0.0
26,Marseille,2010,WindOnShorePPA,WindOnShore,0.0
27,Marseille,2010,electrolysis_AEL,SolarPPA,0.0
28,Marseille,2010,electrolysis_AEL,WindOffShore_flot,0.0
29,Marseille,2010,electrolysis_AEL,WindOnShorePPA,0.0
30,Marseille,2010,electrolysis_AEL,electrolysis_AEL,0.0
31,Marseille,2010,electrolysis_AEL,SMR,0.0
32,Marseille,2010,electrolysis_AEL,Solar,0.0
33,Marseille,2010,electrolysis_AEL,WindOffShorePPA,0.0
34,Marseille,2010,electrolysis_AEL,curtailment,0.0
35,Marseille,2010,electrolysis_AEL,WindOnShore,0.0
36,Marseille,2010,SMR,SolarPPA,0.0
37,Marseille,2010,SMR,WindOffShore_flot,0.0
38,Marseille,2010,SMR,WindOnShorePPA,0.0
39,Marseille,2010,SMR,electrolysis_AEL,0.0
40,Marseille,2010,SMR,SMR,0.0
41,Marseille,2010,SMR,Solar,0.0
42,Marseille,2010,SMR,WindOffShorePPA,0.0
43,Marseille,2010,SMR,curtailment,0.0
44,Marseille,2010,SMR,WindOnShore,0.0
45,Marseille,2010,Solar,SolarPPA,0.0
46,Marseille,2010,Solar,WindOffShore_flot,0.0
47,Marseille,2010,Solar,WindOnShorePPA,0.0
48,Marseille,2010,Solar,electrolysis_AEL,0.0
49,Marseille,2010,Solar,SMR,0.0
50,Marseille,2010,Solar,Solar,0.0
51,Marseille,2010,Solar,WindOffShorePPA,0.0
52,Marseille,2010,Solar,curtailment,0.0
53,Marseille,2010,Solar,WindOnShore,0.0
54,Marseille,2010,WindOffShorePPA,SolarPPA,0.0
55,Marseille,2010,WindOffShorePPA,WindOffShore_flot,0.0
56,Marseille,2010,WindOffShorePPA,WindOnShorePPA,0.0
57,Marseille,2010,WindOffShorePPA,electrolysis_AEL,0.0
58,Marseille,2010,WindOffShorePPA,SMR,0.0
59,Marseille,2010,WindOffShorePPA,Solar,0.0
60,Marseille,2010,WindOffShorePPA,WindOffShorePPA,0.0
61,Marseille,2010,WindOffShorePPA,curtailment,0.0
62,Marseille,2010,WindOffShorePPA,WindOnShore,0.0
63,Marseille,2010,curtailment,SolarPPA,0.0
64,Marseille,2010,curtailment,WindOffShore_flot,0.0
65,Marseille,2010,curtailment,WindOnShorePPA,0.0
66,Marseille,2010,curtailment,electrolysis_AEL,0.0
67,Marseille,2010,curtailment,SMR,0.0
68,Marseille,2010,curtailment,Solar,0.0
69,Marseille,2010,curtailment,WindOffShorePPA,0.0
70,Marseille,2010,curtailment,curtailment,0.0
71,Marseille,2010,curtailment,WindOnShore,0.0
72,Marseille,2010,WindOnShore,SolarPPA,0.0
73,Marseille,2010,WindOnShore,WindOffShore_flot,0.0
74,Marseille,2010,WindOnShore,WindOnShorePPA,0.0
75,Marseille,2010,WindOnShore,electrolysis_AEL,0.0
76,Marseille,2010,WindOnShore,SMR,0.0
77,Marseille,2010,WindOnShore,Solar,0.0
78,Marseille,2010,WindOnShore,WindOffShorePPA,0.0
79,Marseille,2010,WindOnShore,curtailment,0.0
80,Marseille,2010,WindOnShore,WindOnShore,0.0
81,Marseille,2020,SolarPPA,SolarPPA,0.0
82,Marseille,2020,SolarPPA,WindOffShore_flot,0.0
83,Marseille,2020,SolarPPA,WindOnShorePPA,0.0
84,Marseille,2020,SolarPPA,electrolysis_AEL,0.0
85,Marseille,2020,SolarPPA,SMR,0.0
86,Marseille,2020,SolarPPA,Solar,0.0
87,Marseille,2020,SolarPPA,WindOffShorePPA,0.0
88,Marseille,2020,SolarPPA,curtailment,0.0
89,Marseille,2020,SolarPPA,WindOnShore,0.0
90,Marseille,2020,WindOffShore_flot,SolarPPA,0.0
91,Marseille,2020,WindOffShore_flot,WindOffShore_flot,0.0
92,Marseille,2020,WindOffShore_flot,WindOnShorePPA,0.0
93,Marseille,2020,WindOffShore_flot,electrolysis_AEL,0.0
94,Marseille,2020,WindOffShore_flot,SMR,0.0
95,Marseille,2020,WindOffShore_flot,Solar,0.0
96,Marseille,2020,WindOffShore_flot,WindOffShorePPA,0.0
97,Marseille,2020,WindOffShore_flot,curtailment,0.0
98,Marseille,2020,WindOffShore_flot,WindOnShore,0.0
99,Marseille,2020,WindOnShorePPA,SolarPPA,0.0
100,Marseille,2020,WindOnShorePPA,WindOffShore_flot,0.0
101,Marseille,2020,WindOnShorePPA,WindOnShorePPA,0.0
102,Marseille,2020,WindOnShorePPA,electrolysis_AEL,0.0
103,Marseille,2020,WindOnShorePPA,SMR,0.0
104,Marseille,2020,WindOnShorePPA,Solar,0.0
105,Marseille,2020,WindOnShorePPA,WindOffShorePPA,0.0
106,Marseille,2020,WindOnShorePPA,curtailment,0.0
107,Marseille,2020,WindOnShorePPA,WindOnShore,0.0
108,Marseille,2020,electrolysis_AEL,SolarPPA,0.0
109,Marseille,2020,electrolysis_AEL,WindOffShore_flot,0.0
110,Marseille,2020,electrolysis_AEL,WindOnShorePPA,0.0
111,Marseille,2020,electrolysis_AEL,electrolysis_AEL,0.0
112,Marseille,2020,electrolysis_AEL,SMR,0.0
113,Marseille,2020,electrolysis_AEL,Solar,0.0
114,Marseille,2020,electrolysis_AEL,WindOffShorePPA,0.0
115,Marseille,2020,electrolysis_AEL,curtailment,0.0
116,Marseille,2020,electrolysis_AEL,WindOnShore,0.0
117,Marseille,2020,SMR,SolarPPA,0.0
118,Marseille,2020,SMR,WindOffShore_flot,0.0
119,Marseille,2020,SMR,WindOnShorePPA,0.0
120,Marseille,2020,SMR,electrolysis_AEL,0.0
121,Marseille,2020,SMR,SMR,0.0
122,Marseille,2020,SMR,Solar,0.0
123,Marseille,2020,SMR,WindOffShorePPA,0.0
124,Marseille,2020,SMR,curtailment,0.0
125,Marseille,2020,SMR,WindOnShore,0.0
126,Marseille,2020,Solar,SolarPPA,0.0
127,Marseille,2020,Solar,WindOffShore_flot,0.0
128,Marseille,2020,Solar,WindOnShorePPA,0.0
129,Marseille,2020,Solar,electrolysis_AEL,0.0
130,Marseille,2020,Solar,SMR,0.0
131,Marseille,2020,Solar,Solar,0.0
132,Marseille,2020,Solar,WindOffShorePPA,0.0
133,Marseille,2020,Solar,curtailment,0.0
134,Marseille,2020,Solar,WindOnShore,0.0
135,Marseille,2020,WindOffShorePPA,SolarPPA,0.0
136,Marseille,2020,WindOffShorePPA,WindOffShore_flot,0.0
137,Marseille,2020,WindOffShorePPA,WindOnShorePPA,0.0
138,Marseille,2020,WindOffShorePPA,electrolysis_AEL,0.0
139,Marseille,2020,WindOffShorePPA,SMR,0.0
140,Marseille,2020,WindOffShorePPA,Solar,0.0
141,Marseille,2020,WindOffShorePPA,WindOffShorePPA,0.0
142,Marseille,2020,WindOffShorePPA,curtailment,0.0
143,Marseille,2020,WindOffShorePPA,WindOnShore,0.0
144,Marseille,2020,curtailment,SolarPPA,0.0
145,Marseille,2020,curtailment,WindOffShore_flot,0.0
146,Marseille,2020,curtailment,WindOnShorePPA,0.0
147,Marseille,2020,curtailment,electrolysis_AEL,0.0
148,Marseille,2020,curtailment,SMR,0.0
149,Marseille,2020,curtailment,Solar,0.0
150,Marseille,2020,curtailment,WindOffShorePPA,0.0
151,Marseille,2020,curtailment,curtailment,0.0
152,Marseille,2020,curtailment,WindOnShore,0.0
153,Marseille,2020,WindOnShore,SolarPPA,0.0
154,Marseille,2020,WindOnShore,WindOffShore_flot,0.0
155,Marseille,2020,WindOnShore,WindOnShorePPA,0.0
156,Marseille,2020,WindOnShore,electrolysis_AEL,0.0
157,Marseille,2020,WindOnShore,SMR,0.0
158,Marseille,2020,WindOnShore,Solar,0.0
159,Marseille,2020,WindOnShore,WindOffShorePPA,0.0
160,Marseille,2020,WindOnShore,curtailment,0.0
161,Marseille,2020,WindOnShore,WindOnShore,0.0
