,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gaz,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,electricity,2.913888809175797e-11
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,hydrogen,-3.1958817860484714e-28
8,Marseille,2030,gaz,-0.0
9,Marseille,2030,gazNat,60837910.4818071
10,Marseille,2040,electricity,3137587.99515556
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,hydrogen,907095.7972475482
13,Marseille,2040,gaz,-0.0
14,Marseille,2040,gazNat,26917294.882134583
15,Marseille,2050,electricity,2138281.2522033607
16,Marseille,2050,gazBio,5265165.63759916
17,Marseille,2050,hydrogen,2179655.93006679
18,Marseille,2050,gaz,-0.0
19,Marseille,2050,gazNat,12672450.961432211
