,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,2040,IntercoOut,IntercoOut,0.0
1,2040,IntercoOut,CCG_H2,0.0
2,2040,IntercoOut,TAC,0.0
3,2040,IntercoOut,NewNuke,0.0
4,2040,IntercoOut,IntercoIn,0.0
5,2040,IntercoOut,HydroRiver,0.0
6,2040,IntercoOut,WindOffShore,0.0
7,2040,IntercoOut,electrolysis_AEL,0.0
8,2040,IntercoOut,curtailment,0.0
9,2040,IntercoOut,TAC_H2,0.0
10,2040,IntercoOut,CCG,0.0
11,2040,IntercoOut,OldNuke,0.0
12,2040,IntercoOut,Coal_p,0.0
13,2040,IntercoOut,Solar,0.0
14,2040,IntercoOut,HydroReservoir,0.0
15,2040,IntercoOut,WindOnShore,0.0
16,2040,CCG_H2,IntercoOut,0.0
17,2040,CCG_H2,CCG_H2,0.0
18,2040,CCG_H2,TAC,0.0
19,2040,CCG_H2,NewNuke,0.0
20,2040,CCG_H2,IntercoIn,0.0
21,2040,CCG_H2,HydroRiver,0.0
22,2040,CCG_H2,WindOffShore,0.0
23,2040,CCG_H2,electrolysis_AEL,0.0
24,2040,CCG_H2,curtailment,0.0
25,2040,CCG_H2,TAC_H2,0.0
26,2040,CCG_H2,CCG,0.0
27,2040,CCG_H2,OldNuke,0.0
28,2040,CCG_H2,Coal_p,0.0
29,2040,CCG_H2,Solar,0.0
30,2040,CCG_H2,HydroReservoir,0.0
31,2040,CCG_H2,WindOnShore,0.0
32,2040,TAC,IntercoOut,0.0
33,2040,TAC,CCG_H2,0.0
34,2040,TAC,TAC,0.0
35,2040,TAC,NewNuke,0.0
36,2040,TAC,IntercoIn,0.0
37,2040,TAC,HydroRiver,0.0
38,2040,TAC,WindOffShore,0.0
39,2040,TAC,electrolysis_AEL,0.0
40,2040,TAC,curtailment,0.0
41,2040,TAC,TAC_H2,0.0
42,2040,TAC,CCG,0.0
43,2040,TAC,OldNuke,0.0
44,2040,TAC,Coal_p,0.0
45,2040,TAC,Solar,0.0
46,2040,TAC,HydroReservoir,0.0
47,2040,TAC,WindOnShore,0.0
48,2040,NewNuke,IntercoOut,0.0
49,2040,NewNuke,CCG_H2,0.0
