,YEAR_op,RESOURCES,turpeCosts_Pvar
0,2040,gazBio,0.0
1,2040,hydrogen,0.0
2,2040,uranium,0.0
3,2040,electricity,0.0
4,2040,gaz,0.0
5,2040,gazNat,0.0
6,2050,gazBio,0.0
7,2050,hydrogen,0.0
8,2050,uranium,0.0
9,2050,electricity,0.0
10,2050,gaz,0.0
11,2050,gazNat,0.0
12,2020,gazBio,0.0
13,2020,hydrogen,0.0
14,2020,uranium,0.0
15,2020,electricity,0.0
16,2020,gaz,0.0
17,2020,gazNat,0.0
18,2030,gazBio,0.0
19,2030,hydrogen,0.0
20,2030,uranium,0.0
21,2030,electricity,0.0
22,2030,gaz,0.0
23,2030,gazNat,0.0
