,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,gaz,-0.0
2,Marseille,2020,gazBio,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,electricity,-1.0097515513063949e-11
6,Marseille,2030,gaz,-0.0
7,Marseille,2030,gazBio,-0.0
8,Marseille,2030,gazNat,62544921.52524364
9,Marseille,2030,hydrogen,-1.249630537891401e-11
10,Marseille,2040,electricity,-0.0
11,Marseille,2040,gaz,-0.0
12,Marseille,2040,gazBio,-0.0
13,Marseille,2040,gazNat,54980207.14596618
14,Marseille,2040,hydrogen,-0.0
15,Marseille,2050,electricity,1550560.2025417665
16,Marseille,2050,gaz,-0.0
17,Marseille,2050,gazBio,-0.0
18,Marseille,2050,gazNat,26505367.862523343
19,Marseille,2050,hydrogen,568483.8886375676
