,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,P,0.0
6,Marseille,2030,HCH,0.0
7,Marseille,2030,HPH,0.0
8,Marseille,2030,HCE,0.0
9,Marseille,2030,HPE,0.0
10,Marseille,2040,P,593.8308105357518
11,Marseille,2040,HCH,593.902919436744
12,Marseille,2040,HPH,593.902919436744
13,Marseille,2040,HCE,593.902919436744
14,Marseille,2040,HPE,593.902919436744
15,Marseille,2050,P,1661.2421252692743
16,Marseille,2050,HCH,1668.2199228591676
17,Marseille,2050,HPH,1668.2199228591676
18,Marseille,2050,HCE,1668.2199228591676
19,Marseille,2050,HPE,1668.2199228591676
