,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,tankH2_G,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,Battery,-0.0
3,Marseille,2030,tankH2_G,1928236.3211112171
4,Marseille,2030,saltCavernH2_G,3535856.13885378
5,Marseille,2030,Battery,-0.0
6,Marseille,2040,tankH2_G,2665577.3956396165
7,Marseille,2040,saltCavernH2_G,7795061.515380851
8,Marseille,2040,Battery,-0.0
9,Marseille,2050,tankH2_G,1904238.3718419608
10,Marseille,2050,saltCavernH2_G,11042792.446081534
11,Marseille,2050,Battery,-0.0
