,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,hydrogen,-0.0
2,Marseille,2020,gazBio,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,electricity,-3.9812547798103273e-29
6,Marseille,2030,hydrogen,-7.329222229337827e-26
7,Marseille,2030,gazBio,-0.0
8,Marseille,2030,gazNat,60703873.993714444
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,electricity,3681481.0643488336
11,Marseille,2040,hydrogen,-0.0
12,Marseille,2040,gazBio,-0.0
13,Marseille,2040,gazNat,31138138.5921612
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,electricity,3531394.52532712
16,Marseille,2050,hydrogen,-0.0
17,Marseille,2050,gazBio,7917261.184672649
18,Marseille,2050,gazNat,3407690.682168091
19,Marseille,2050,gaz,-0.0
