,AREA,YEAR_op,STOCK_TECHNO,Pmax_Pvar
0,Marseille,2020,tankH2_G,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,Battery,0.0
3,Marseille,2030,tankH2_G,538.0783518988109
4,Marseille,2030,saltCavernH2_G,194.13740887218378
5,Marseille,2030,Battery,0.0
6,Marseille,2040,tankH2_G,538.0783518988109
7,Marseille,2040,saltCavernH2_G,485.6403698198159
8,Marseille,2040,Battery,0.0
9,Marseille,2050,tankH2_G,111.199692012787
10,Marseille,2050,saltCavernH2_G,824.4347852348002
11,Marseille,2050,Battery,0.0
