,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,P,1381.5624297919737
6,Marseille,2030,HCH,1381.5624297919737
7,Marseille,2030,HPH,1381.5624297919737
8,Marseille,2030,HCE,1381.5624297919737
9,Marseille,2030,HPE,1381.5624297919737
10,Marseille,2040,P,2277.5175133932034
11,Marseille,2040,HCH,2277.5175133932034
12,Marseille,2040,HPH,2277.5175133932034
13,Marseille,2040,HCE,2277.5175133932034
14,Marseille,2040,HPE,2277.5175133932034
15,Marseille,2050,P,2416.3887000867344
16,Marseille,2050,HCH,2416.3887000867344
17,Marseille,2050,HPH,2416.3887000867344
18,Marseille,2050,HCE,2416.3887000867344
19,Marseille,2050,HPE,2416.3887000867344
