,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,Battery,-0.0
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,tankH2_G,-0.0
3,Marseille,2030,Battery,-0.0
4,Marseille,2030,saltCavernH2_G,-3.2755799479304107e-17
5,Marseille,2030,tankH2_G,-0.0
6,Marseille,2040,Battery,-0.0
7,Marseille,2040,saltCavernH2_G,1606144.601359562
8,Marseille,2040,tankH2_G,532406.4099730633
9,Marseille,2050,Battery,-0.0
10,Marseille,2050,saltCavernH2_G,3388270.0645680875
11,Marseille,2050,tankH2_G,1330403.1014142847
