,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,Marseille,2020,tankH2_G,0.0
1,Marseille,2020,saltCavernH2_G,0.0
2,Marseille,2020,Battery,0.0
3,Marseille,2030,tankH2_G,-3.416020772322023e-15
4,Marseille,2030,saltCavernH2_G,19840.699652160798
5,Marseille,2030,Battery,0.0
6,Marseille,2040,tankH2_G,6778.968966757237
7,Marseille,2040,saltCavernH2_G,149840.6996521608
8,Marseille,2040,Battery,0.0
9,Marseille,2050,tankH2_G,23817.692462952342
10,Marseille,2050,saltCavernH2_G,279840.6996521608
11,Marseille,2050,Battery,0.0
