,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,electrolysis_PEMEL,-0.0
1,Marseille,2020,WindOnShore,-0.0
2,Marseille,2020,curtailment,0.0
3,Marseille,2020,CCS2,-0.0
4,Marseille,2020,WindOffShore_flot,-0.0
5,Marseille,2020,SMR,9128548.42460624
6,Marseille,2020,Solar,-0.0
7,Marseille,2020,SMR + CCS1,-0.0
8,Marseille,2020,SMR + CCS2,-0.0
9,Marseille,2020,CCS1,-0.0
10,Marseille,2020,electrolysis_AEL,-0.0
11,Marseille,2030,electrolysis_PEMEL,-0.0
12,Marseille,2030,WindOnShore,-0.0
13,Marseille,2030,curtailment,0.0
14,Marseille,2030,CCS2,-0.0
15,Marseille,2030,WindOffShore_flot,-0.0
16,Marseille,2030,SMR,1233978.7303777
17,Marseille,2030,Solar,-0.0
18,Marseille,2030,SMR + CCS1,11407236.305246703
19,Marseille,2030,SMR + CCS2,-0.0
20,Marseille,2030,CCS1,4744990.864649537
21,Marseille,2030,electrolysis_AEL,-0.0
22,Marseille,2040,electrolysis_PEMEL,-0.0
23,Marseille,2040,WindOnShore,211094.29631965706
24,Marseille,2040,curtailment,0.0
25,Marseille,2040,CCS2,-0.0
26,Marseille,2040,WindOffShore_flot,-0.0
27,Marseille,2040,SMR,833631.8153363251
28,Marseille,2040,Solar,-0.0
29,Marseille,2040,SMR + CCS1,7706320.113153462
30,Marseille,2040,SMR + CCS2,-0.0
31,Marseille,2040,CCS1,3205545.8095629723
32,Marseille,2040,electrolysis_AEL,17896839.649246868
33,Marseille,2050,electrolysis_PEMEL,-0.0
34,Marseille,2050,WindOnShore,1981613.750251367
35,Marseille,2050,curtailment,0.0
36,Marseille,2050,CCS2,-0.0
37,Marseille,2050,WindOffShore_flot,-0.0
38,Marseille,2050,SMR,5118577.195657381
39,Marseille,2050,Solar,604048.387903515
40,Marseille,2050,SMR + CCS1,5206113.741948053
41,Marseille,2050,SMR + CCS2,-0.0
42,Marseille,2050,CCS1,2165551.8904704307
43,Marseille,2050,electrolysis_AEL,21819754.038886037
