,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,electrolysis_PEMEL,-0.0
1,Marseille,2020,WindOnShore,-0.0
2,Marseille,2020,curtailment,0.0
3,Marseille,2020,CCS2,-0.0
4,Marseille,2020,WindOffShore_flot,-0.0
5,Marseille,2020,SMR,9128548.42460624
6,Marseille,2020,Solar,-0.0
7,Marseille,2020,SMR + CCS1,-0.0
8,Marseille,2020,SMR + CCS2,-0.0
9,Marseille,2020,CCS1,-0.0
10,Marseille,2020,electrolysis_AEL,-0.0
11,Marseille,2030,electrolysis_PEMEL,-0.0
12,Marseille,2030,WindOnShore,5.335011858858425e-11
13,Marseille,2030,curtailment,0.0
14,Marseille,2030,CCS2,-0.0
15,Marseille,2030,WindOffShore_flot,-0.0
16,Marseille,2030,SMR,920614.3904677054
17,Marseille,2030,Solar,-0.0
18,Marseille,2030,SMR + CCS1,11820877.233927894
19,Marseille,2030,SMR + CCS2,-0.0
20,Marseille,2030,CCS1,5312439.093222239
21,Marseille,2030,electrolysis_AEL,-0.0
22,Marseille,2040,electrolysis_PEMEL,-0.0
23,Marseille,2040,WindOnShore,5152044.365150463
24,Marseille,2040,curtailment,0.0
25,Marseille,2040,CCS2,-0.0
26,Marseille,2040,WindOffShore_flot,-0.0
27,Marseille,2040,SMR,2730893.697548274
28,Marseille,2040,Solar,-0.0
29,Marseille,2040,SMR + CCS1,7985761.103330303
30,Marseille,2040,SMR + CCS2,-0.0
31,Marseille,2040,CCS1,3588893.500450361
32,Marseille,2040,electrolysis_AEL,15363631.738369644
33,Marseille,2050,electrolysis_PEMEL,-0.0
34,Marseille,2050,WindOnShore,9676255.169085853
35,Marseille,2050,curtailment,0.0
36,Marseille,2050,CCS2,-0.0
37,Marseille,2050,WindOffShore_flot,-0.0
38,Marseille,2050,SMR,5730702.201867048
39,Marseille,2050,Solar,10763477.521106886
40,Marseille,2050,SMR + CCS1,5394894.062212729
41,Marseille,2050,SMR + CCS2,-0.0
42,Marseille,2050,CCS1,2424527.854636059
43,Marseille,2050,electrolysis_AEL,15654139.659368657
