,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,electricity,-0.0
1,Marseille,2020,hydrogen,-0.0
2,Marseille,2020,gazBio,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,electricity,6.986901187917053e-11
6,Marseille,2030,hydrogen,-6.151164865249144e-13
7,Marseille,2030,gazBio,-0.0
8,Marseille,2030,gazNat,60885447.252782695
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,electricity,2261438.513629535
11,Marseille,2040,hydrogen,566791.9123885175
12,Marseille,2040,gazBio,-0.0
13,Marseille,2040,gazNat,33687876.70794024
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,electricity,1593803.782174204
16,Marseille,2050,hydrogen,388282.2300821992
17,Marseille,2050,gazBio,8771892.343158657
18,Marseille,2050,gazNat,7918191.905955123
19,Marseille,2050,gaz,-0.0
