,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,SMR + CCS2,-0.0
1,Marseille,2020,CCS1,-0.0
2,Marseille,2020,curtailment,0.0
3,Marseille,2020,Solar,-0.0
4,Marseille,2020,electrolysis_AEL,-0.0
5,Marseille,2020,SMR + CCS1,-0.0
6,Marseille,2020,electrolysis_PEMEL,-0.0
7,Marseille,2020,WindOnShore,-0.0
8,Marseille,2020,SMR,9128548.42460624
9,Marseille,2020,WindOffShore_flot,-0.0
10,Marseille,2020,CCS2,-0.0
11,Marseille,2030,SMR + CCS2,-0.0
12,Marseille,2030,CCS1,1741698.5406071572
13,Marseille,2030,curtailment,0.0
14,Marseille,2030,Solar,2568603.994402941
15,Marseille,2030,electrolysis_AEL,30227727.241920426
16,Marseille,2030,SMR + CCS1,1277096.0113388293
17,Marseille,2030,electrolysis_PEMEL,-0.0
18,Marseille,2030,WindOnShore,5451947.21982937
19,Marseille,2030,SMR,2892499.57737637
20,Marseille,2030,WindOffShore_flot,-0.0
21,Marseille,2030,CCS2,-0.0
22,Marseille,2040,SMR + CCS2,-0.0
23,Marseille,2040,CCS1,1176629.1269303805
24,Marseille,2040,curtailment,0.0
25,Marseille,2040,Solar,2411202.254650152
26,Marseille,2040,electrolysis_AEL,37331048.70284541
27,Marseille,2040,SMR + CCS1,862760.3054108588
28,Marseille,2040,electrolysis_PEMEL,-0.0
29,Marseille,2040,WindOnShore,5141534.139579732
30,Marseille,2040,SMR,3003300.406550693
31,Marseille,2040,WindOffShore_flot,-0.0
32,Marseille,2040,CCS2,-0.0
33,Marseille,2050,SMR + CCS2,-0.0
34,Marseille,2050,CCS1,794888.4781509475
35,Marseille,2050,curtailment,0.0
36,Marseille,2050,Solar,1603242.0852561994
37,Marseille,2050,electrolysis_AEL,19583918.77489273
38,Marseille,2050,SMR + CCS1,582849.9486207791
39,Marseille,2050,electrolysis_PEMEL,-0.0
40,Marseille,2050,WindOnShore,3345037.428607539
41,Marseille,2050,SMR,9990863.501320828
42,Marseille,2050,WindOffShore_flot,8030043.862110641
43,Marseille,2050,CCS2,-0.0
