,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,HPE,0.0
2,Marseille,2020,HCH,0.0
3,Marseille,2020,HPH,0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HCE,1187.14155092083
6,Marseille,2030,HPE,1187.14155092083
7,Marseille,2030,HCH,1187.14155092083
8,Marseille,2030,HPH,1187.14155092083
9,Marseille,2030,P,1132.0066322959387
10,Marseille,2040,HCE,2626.722411573806
11,Marseille,2040,HPE,2626.722411573806
12,Marseille,2040,HCH,2626.722411573806
13,Marseille,2040,HPH,2626.722411573806
14,Marseille,2040,P,2575.548930812982
15,Marseille,2050,HCE,2778.932224802203
16,Marseille,2050,HPE,2778.932224802203
17,Marseille,2050,HCH,2778.932224802203
18,Marseille,2050,HPH,2778.932224802203
19,Marseille,2050,P,2651.639300281222
