,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazBio,-0.0
1,Marseille,2020,hydrogen,-0.0
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,electricity,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gazBio,-0.0
6,Marseille,2030,hydrogen,75866254.51861537
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,electricity,34788953.22390756
9,Marseille,2030,gazNat,-0.0
10,Marseille,2040,gazBio,-0.0
11,Marseille,2040,hydrogen,49849251.64726219
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,electricity,11865292.435941406
14,Marseille,2040,gazNat,-0.0
15,Marseille,2050,gazBio,-0.0
16,Marseille,2050,hydrogen,17022128.99743085
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,electricity,4458660.8919070745
19,Marseille,2050,gazNat,-0.0
