,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,hydrogen,-0.0
2,Marseille,2020,electricity,4.263748011488532e-26
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,hydrogen,6672576.391704847
7,Marseille,2030,electricity,34356764.400987655
8,Marseille,2030,gazBio,48323774.95416761
9,Marseille,2030,gazNat,17861187.697009414
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,hydrogen,4406149.892877465
12,Marseille,2040,electricity,11796855.714990439
13,Marseille,2040,gazBio,29160122.568611346
14,Marseille,2040,gazNat,731272.6937723045
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,hydrogen,606965.7493268368
17,Marseille,2050,electricity,6929042.181135951
18,Marseille,2050,gazBio,19643800.89611048
19,Marseille,2050,gazNat,436610.74572214886
