,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HPE,0.0
2,Marseille,2020,HCE,0.0
3,Marseille,2020,HCH,0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,P,1351.1185556952032
6,Marseille,2030,HPE,1379.3923854548561
7,Marseille,2030,HCE,1379.3923854548561
8,Marseille,2030,HCH,1379.3923854548561
9,Marseille,2030,HPH,1379.3923854548561
10,Marseille,2040,P,2696.771673752251
11,Marseille,2040,HPE,2748.152507886741
12,Marseille,2040,HCE,2748.152507886741
13,Marseille,2040,HCH,2748.152507886741
14,Marseille,2040,HPH,2748.152507886741
15,Marseille,2050,P,2602.71485883084
16,Marseille,2050,HPE,2760.523733142011
17,Marseille,2050,HCE,2760.523733142011
18,Marseille,2050,HCH,2760.523733142011
19,Marseille,2050,HPH,2760.523733142011
