,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,P,0.0
1,Marseille,2020,HPE,0.0
2,Marseille,2020,HCE,0.0
3,Marseille,2020,HCH,0.0
4,Marseille,2020,HPH,0.0
5,Marseille,2030,P,1978.524249466157
6,Marseille,2030,HPE,2055.024249466157
7,Marseille,2030,HCE,2055.024249466157
8,Marseille,2030,HCH,2055.024249466157
9,Marseille,2030,HPH,2055.024249466157
10,Marseille,2040,P,2854.768044479647
11,Marseille,2040,HPE,2890.018044479647
12,Marseille,2040,HCE,2890.018044479647
13,Marseille,2040,HCH,2890.018044479647
14,Marseille,2040,HPH,2890.018044479647
15,Marseille,2050,P,2595.5053172541748
16,Marseille,2050,HPE,2654.4053172541744
17,Marseille,2050,HCE,2654.4053172541744
18,Marseille,2050,HCH,2654.4053172541744
19,Marseille,2050,HPH,2654.4053172541744
