,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,Marseille,2010,tankH2_G,1.6940658945086007e-21
1,Marseille,2010,saltCavernH2_G,0.0
2,Marseille,2010,Battery,-0.0
3,Marseille,2020,tankH2_G,-4.1306077515920834e-13
4,Marseille,2020,saltCavernH2_G,0.0
5,Marseille,2020,Battery,0.0
6,Marseille,2030,tankH2_G,3.386626566425153e-12
7,Marseille,2030,saltCavernH2_G,0.0
8,Marseille,2030,Battery,1.0658141036401503e-14
9,Marseille,2040,tankH2_G,2.562530113350615e-11
10,Marseille,2040,saltCavernH2_G,0.0
11,Marseille,2040,Battery,-5.748029107538726e-16
