,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,curtailment,0.0
1,Marseille,2020,CCS2,-0.0
2,Marseille,2020,SMR + CCS1,-0.0
3,Marseille,2020,WindOnShore,-0.0
4,Marseille,2020,WindOffShore_flot,-0.0
5,Marseille,2020,SMR + CCS2,-0.0
6,Marseille,2020,CCS1,-0.0
7,Marseille,2020,SMR,9128548.42460624
8,Marseille,2020,Solar,-0.0
9,Marseille,2030,curtailment,0.0
10,Marseille,2030,CCS2,-0.0
11,Marseille,2030,SMR + CCS1,13036088.229345268
12,Marseille,2030,WindOnShore,-0.0
13,Marseille,2030,WindOffShore_flot,-0.0
14,Marseille,2030,SMR + CCS2,-0.0
15,Marseille,2030,CCS1,6979511.374706097
16,Marseille,2030,SMR,-1.1915110896666887e-17
17,Marseille,2030,Solar,-0.0
18,Marseille,2040,curtailment,0.0
19,Marseille,2040,CCS2,-0.0
20,Marseille,2040,SMR + CCS1,15715453.735674271
21,Marseille,2040,WindOnShore,3.3347235528406647e-10
22,Marseille,2040,WindOffShore_flot,-0.0
23,Marseille,2040,SMR + CCS2,-7.539924703006269e-08
24,Marseille,2040,CCS1,4715107.800663531
25,Marseille,2040,SMR,1.4167341402171563e-17
26,Marseille,2040,Solar,3.302117366990667e-10
27,Marseille,2050,curtailment,0.0
28,Marseille,2050,CCS2,-0.0
29,Marseille,2050,SMR + CCS1,10616797.440661082
30,Marseille,2050,WindOnShore,2.2528197452386177e-10
31,Marseille,2050,WindOffShore_flot,-1.4168209574452763e-18
32,Marseille,2050,SMR + CCS2,3282276.213718374
33,Marseille,2050,CCS1,3185357.882279298
34,Marseille,2050,SMR,7529027.721751067
35,Marseille,2050,Solar,2.2307921743962843e-10
