,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,hydrogen,-0.0
1,Marseille,2020,electricity,-2.0113852425133258e-13
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gazBio,-0.0
5,Marseille,2030,hydrogen,-1.8659105340646725e-10
6,Marseille,2030,electricity,-1.3177853796376535e-09
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,gazNat,61232163.977460176
9,Marseille,2030,gazBio,-0.0
10,Marseille,2040,hydrogen,-4.169472300012605e-10
11,Marseille,2040,electricity,-7.676458357754441e-10
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,gazNat,52952304.90929889
14,Marseille,2040,gazBio,-0.0
15,Marseille,2050,hydrogen,-3.4480066230223035e-09
16,Marseille,2050,electricity,-7.912972005783862e-09
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,gazNat,36172331.28606662
19,Marseille,2050,gazBio,7462866.710873629
