,AREA,YEAR_op,STOCK_TECHNO,storageCosts_Pvar
0,Marseille,2020,tankH2_G,2.1819379862428496e-18
1,Marseille,2020,saltCavernH2_G,-0.0
2,Marseille,2020,Battery,-0.0
3,Marseille,2030,tankH2_G,-6.059244228065386e-10
4,Marseille,2030,saltCavernH2_G,-0.0
5,Marseille,2030,Battery,1.0575633533049448e-09
6,Marseille,2040,tankH2_G,2.337715589527962e-09
7,Marseille,2040,saltCavernH2_G,-0.0
8,Marseille,2040,Battery,7.658335729928201e-10
9,Marseille,2050,tankH2_G,1.704756031372725e-08
10,Marseille,2050,saltCavernH2_G,-0.0
11,Marseille,2050,Battery,5.111135024539733e-10
