,AREA,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,transInvest_Dvar
0,Marseille,2010,curtailment,curtailment,0.0
1,Marseille,2010,curtailment,CCS2,0.0
2,Marseille,2010,curtailment,SMR + CCS1,0.0
3,Marseille,2010,curtailment,WindOnShore,0.0
4,Marseille,2010,curtailment,WindOffShore_flot,0.0
5,Marseille,2010,curtailment,SMR + CCS2,0.0
6,Marseille,2010,curtailment,CCS1,0.0
7,Marseille,2010,curtailment,SMR,0.0
8,Marseille,2010,curtailment,Solar,0.0
9,Marseille,2010,CCS2,curtailment,0.0
10,Marseille,2010,CCS2,CCS2,0.0
11,Marseille,2010,CCS2,SMR + CCS1,0.0
12,Marseille,2010,CCS2,WindOnShore,0.0
13,Marseille,2010,CCS2,WindOffShore_flot,0.0
14,Marseille,2010,CCS2,SMR + CCS2,0.0
15,Marseille,2010,CCS2,CCS1,0.0
16,Marseille,2010,CCS2,SMR,0.0
17,Marseille,2010,CCS2,Solar,0.0
18,Marseille,2010,SMR + CCS1,curtailment,0.0
19,Marseille,2010,SMR + CCS1,CCS2,0.0
20,Marseille,2010,SMR + CCS1,SMR + CCS1,0.0
21,Marseille,2010,SMR + CCS1,WindOnShore,0.0
22,Marseille,2010,SMR + CCS1,WindOffShore_flot,0.0
23,Marseille,2010,SMR + CCS1,SMR + CCS2,0.0
24,Marseille,2010,SMR + CCS1,CCS1,0.0
25,Marseille,2010,SMR + CCS1,SMR,0.0
26,Marseille,2010,SMR + CCS1,Solar,0.0
27,Marseille,2010,WindOnShore,curtailment,0.0
28,Marseille,2010,WindOnShore,CCS2,0.0
29,Marseille,2010,WindOnShore,SMR + CCS1,0.0
30,Marseille,2010,WindOnShore,WindOnShore,0.0
31,Marseille,2010,WindOnShore,WindOffShore_flot,0.0
32,Marseille,2010,WindOnShore,SMR + CCS2,0.0
33,Marseille,2010,WindOnShore,CCS1,0.0
34,Marseille,2010,WindOnShore,SMR,0.0
35,Marseille,2010,WindOnShore,Solar,0.0
36,Marseille,2010,WindOffShore_flot,curtailment,0.0
37,Marseille,2010,WindOffShore_flot,CCS2,0.0
38,Marseille,2010,WindOffShore_flot,SMR + CCS1,0.0
39,Marseille,2010,WindOffShore_flot,WindOnShore,0.0
40,Marseille,2010,WindOffShore_flot,WindOffShore_flot,0.0
41,Marseille,2010,WindOffShore_flot,SMR + CCS2,0.0
42,Marseille,2010,WindOffShore_flot,CCS1,0.0
43,Marseille,2010,WindOffShore_flot,SMR,0.0
44,Marseille,2010,WindOffShore_flot,Solar,0.0
45,Marseille,2010,SMR + CCS2,curtailment,0.0
46,Marseille,2010,SMR + CCS2,CCS2,0.0
47,Marseille,2010,SMR + CCS2,SMR + CCS1,0.0
48,Marseille,2010,SMR + CCS2,WindOnShore,0.0
49,Marseille,2010,SMR + CCS2,WindOffShore_flot,0.0
50,Marseille,2010,SMR + CCS2,SMR + CCS2,0.0
51,Marseille,2010,SMR + CCS2,CCS1,0.0
52,Marseille,2010,SMR + CCS2,SMR,0.0
53,Marseille,2010,SMR + CCS2,Solar,0.0
54,Marseille,2010,CCS1,curtailment,0.0
55,Marseille,2010,CCS1,CCS2,0.0
56,Marseille,2010,CCS1,SMR + CCS1,0.0
57,Marseille,2010,CCS1,WindOnShore,0.0
58,Marseille,2010,CCS1,WindOffShore_flot,0.0
59,Marseille,2010,CCS1,SMR + CCS2,0.0
60,Marseille,2010,CCS1,CCS1,0.0
61,Marseille,2010,CCS1,SMR,0.0
62,Marseille,2010,CCS1,Solar,0.0
63,Marseille,2010,SMR,curtailment,0.0
64,Marseille,2010,SMR,CCS2,0.0
65,Marseille,2010,SMR,SMR + CCS1,0.0
66,Marseille,2010,SMR,WindOnShore,0.0
