,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,SMR,10552210.415202035
1,Marseille,2020,WindOffShore_flot,-0.0
2,Marseille,2020,WindOnShore,-0.0
3,Marseille,2020,Solar,-0.0
4,Marseille,2020,CCS1,-0.0
5,Marseille,2020,SMR + CCS1,-0.0
6,Marseille,2020,electrolysis_AEL,-0.0
7,Marseille,2020,CCS2,-0.0
8,Marseille,2020,electrolysis_PEMEL,-0.0
9,Marseille,2020,curtailment,0.0
10,Marseille,2020,SMR + CCS2,-0.0
11,Marseille,2030,SMR,-0.0
12,Marseille,2030,WindOffShore_flot,-0.0
13,Marseille,2030,WindOnShore,-0.0
14,Marseille,2030,Solar,-0.0
15,Marseille,2030,CCS1,7186924.21762826
16,Marseille,2030,SMR + CCS1,15007078.068149071
17,Marseille,2030,electrolysis_AEL,-0.0
18,Marseille,2030,CCS2,-0.0
19,Marseille,2030,electrolysis_PEMEL,-0.0
20,Marseille,2030,curtailment,0.0
21,Marseille,2030,SMR + CCS2,-0.0
22,Marseille,2040,SMR,3460702.3516171672
23,Marseille,2040,WindOffShore_flot,-0.0
24,Marseille,2040,WindOnShore,3816449.2166468794
25,Marseille,2040,Solar,1043806.3524163845
26,Marseille,2040,CCS1,5347746.577161093
27,Marseille,2040,SMR + CCS1,11166675.470889822
28,Marseille,2040,electrolysis_AEL,17718504.91331567
29,Marseille,2040,CCS2,-0.0
30,Marseille,2040,electrolysis_PEMEL,-0.0
31,Marseille,2040,curtailment,0.0
32,Marseille,2040,SMR + CCS2,-0.0
33,Marseille,2050,SMR,9405442.53166903
34,Marseille,2050,WindOffShore_flot,10833779.742819455
35,Marseille,2050,WindOnShore,3929341.249346596
36,Marseille,2050,Solar,1716086.184164404
37,Marseille,2050,CCS1,3979225.6864753584
38,Marseille,2050,SMR + CCS1,8309055.267515637
39,Marseille,2050,electrolysis_AEL,21001011.82159158
40,Marseille,2050,CCS2,-0.0
41,Marseille,2050,electrolysis_PEMEL,-0.0
42,Marseille,2050,curtailment,0.0
43,Marseille,2050,SMR + CCS2,-0.0
