,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,25798383.84997737
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,gaz,-0.0
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,gazNat,36880983.78812541
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-8.347354159133133e-27
8,Marseille,2030,gaz,-0.0
9,Marseille,2030,hydrogen,-1.036265548645666e-12
10,Marseille,2040,gazNat,27186071.82913176
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,-0.0
13,Marseille,2040,gaz,-0.0
14,Marseille,2040,hydrogen,-0.0
15,Marseille,2050,gazNat,8826920.215506572
16,Marseille,2050,gazBio,2736622.048332677
17,Marseille,2050,electricity,914593.1122243698
18,Marseille,2050,gaz,-0.0
19,Marseille,2050,hydrogen,857650.5715059091
