,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,France,2020,uranium,1095771383.666471
1,France,2020,electricity,-0.0
2,France,2020,gazBio,-0.0
3,France,2020,gazNat,126986835.98810682
4,France,2020,hydrogen,-0.0
5,France,2020,gaz,-0.0
6,France,2030,uranium,427085441.0742738
7,France,2030,electricity,-0.0
8,France,2030,gazBio,-0.0
9,France,2030,gazNat,261803776.41847336
10,France,2030,hydrogen,-0.0
11,France,2030,gaz,-0.0
12,France,2040,uranium,130952239.02431951
13,France,2040,electricity,-0.0
14,France,2040,gazBio,-0.0
15,France,2040,gazNat,8722341.687192049
16,France,2040,hydrogen,-0.0
17,France,2040,gaz,-0.0
18,France,2050,uranium,41945878.17883663
19,France,2050,electricity,-0.0
20,France,2050,gazBio,1082218.7863841676
21,France,2050,gazNat,3288273.7552677267
22,France,2050,hydrogen,-0.0
23,France,2050,gaz,-0.0
