,AREA,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,France,2020,IntercoIn,16720135.164433835
1,France,2020,Coal_p,9527824.111162148
2,France,2020,TAC_H2,0.0
3,France,2020,Solar,0.0
4,France,2020,WindOffShore,0.0
5,France,2020,IntercoOut,-0.0
6,France,2020,CCG_H2,0.0
7,France,2020,OldNuke,2863824812.2215333
8,France,2020,HydroRiver,0.0
9,France,2020,TAC,0.0
10,France,2020,WindOnShore,0.0
11,France,2020,CCG,0.0
12,France,2020,curtailment,15513734.952082692
13,France,2020,NewNuke,0.0
14,France,2020,HydroReservoir,0.0
15,France,2020,electrolysis_AEL,0.0
16,France,2030,IntercoIn,235221575.16394466
17,France,2030,Coal_p,8511352.952070598
18,France,2030,TAC_H2,0.0
19,France,2030,Solar,0.0
20,France,2030,WindOffShore,0.0
21,France,2030,IntercoOut,-0.0
22,France,2030,CCG_H2,0.0
23,France,2030,OldNuke,950803210.225423
24,France,2030,HydroRiver,0.0
25,France,2030,TAC,0.0
26,France,2030,WindOnShore,0.0
27,France,2030,CCG,0.0
28,France,2030,curtailment,11943554.017002769
29,France,2030,NewNuke,0.0
30,France,2030,HydroReservoir,0.0
31,France,2030,electrolysis_AEL,0.0
32,France,2040,IntercoIn,447527515.51556575
33,France,2040,Coal_p,-0.0
34,France,2040,TAC_H2,0.0
35,France,2040,Solar,0.0
36,France,2040,WindOffShore,0.0
37,France,2040,IntercoOut,-0.0
38,France,2040,CCG_H2,0.0
39,France,2040,OldNuke,205878833.87905762
40,France,2040,HydroRiver,0.0
41,France,2040,TAC,0.0
42,France,2040,WindOnShore,0.0
43,France,2040,CCG,0.0
44,France,2040,curtailment,87494378.51270555
45,France,2040,NewNuke,0.0
46,France,2040,HydroReservoir,0.0
47,France,2040,electrolysis_AEL,0.0
48,France,2050,IntercoIn,219443586.86870855
49,France,2050,Coal_p,-0.0
50,France,2050,TAC_H2,0.0
51,France,2050,Solar,0.0
52,France,2050,WindOffShore,0.0
53,France,2050,IntercoOut,-0.0
54,France,2050,CCG_H2,0.0
55,France,2050,OldNuke,42202110.55862141
56,France,2050,HydroRiver,0.0
57,France,2050,TAC,0.0
58,France,2050,WindOnShore,0.0
59,France,2050,CCG,0.0
60,France,2050,curtailment,33127063.129990824
61,France,2050,NewNuke,0.0
62,France,2050,HydroReservoir,0.0
63,France,2050,electrolysis_AEL,0.0
