,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,France,2020,IntercoIn,54768036.321164615
1,France,2020,Coal_p,103896149.4262169
2,France,2020,TAC_H2,-0.0
3,France,2020,Solar,1210196233.2554379
4,France,2020,WindOffShore,498001123.35047203
5,France,2020,IntercoOut,0.0
6,France,2020,CCG_H2,-0.0
7,France,2020,OldNuke,0.0
8,France,2020,HydroRiver,318630817.7103564
9,France,2020,TAC,120462079.242563
10,France,2020,WindOnShore,1000821552.956674
11,France,2020,CCG,85259689.23318411
12,France,2020,curtailment,0.0
13,France,2020,NewNuke,-0.0
14,France,2020,HydroReservoir,434496569.6050315
15,France,2020,electrolysis_AEL,73811122.88286033
16,France,2030,IntercoIn,132299316.41030395
17,France,2030,Coal_p,1845919.9635412805
18,France,2030,TAC_H2,-0.0
19,France,2030,Solar,608850367.0135086
20,France,2030,WindOffShore,809738905.3061473
21,France,2030,IntercoOut,0.0
22,France,2030,CCG_H2,-0.0
23,France,2030,OldNuke,0.0
24,France,2030,HydroRiver,26816312.353051767
25,France,2030,TAC,5999239.881509162
26,France,2030,WindOnShore,588436681.6414913
27,France,2030,CCG,10152559.799477043
28,France,2030,curtailment,0.0
29,France,2030,NewNuke,887903379.0757713
30,France,2030,HydroReservoir,32354072.243675604
31,France,2030,electrolysis_AEL,55670374.71425411
32,France,2040,IntercoIn,71029022.50544085
33,France,2040,Coal_p,-0.0
34,France,2040,TAC_H2,-0.0
35,France,2040,Solar,452204124.45488
36,France,2040,WindOffShore,600831353.8445675
37,France,2040,IntercoOut,0.0
38,France,2040,CCG_H2,-0.0
39,France,2040,OldNuke,0.0
40,France,2040,HydroRiver,19273793.92123486
41,France,2040,TAC,-0.0
42,France,2040,WindOnShore,358219554.37941265
43,France,2040,CCG,711682.0547673461
44,France,2040,curtailment,0.0
45,France,2040,NewNuke,849183334.1422163
46,France,2040,HydroReservoir,21408840.085536897
47,France,2040,electrolysis_AEL,26558181.666570213
48,France,2050,IntercoIn,31228933.762067966
49,France,2050,Coal_p,-0.0
50,France,2050,TAC_H2,-0.0
51,France,2050,Solar,245954612.6426456
52,France,2050,WindOffShore,290121262.53774375
53,France,2050,IntercoOut,0.0
54,France,2050,CCG_H2,-0.0
55,France,2050,OldNuke,0.0
56,France,2050,HydroRiver,9153285.88307656
57,France,2050,TAC,-0.0
58,France,2050,WindOnShore,237865476.78177232
59,France,2050,CCG,274384.24042297056
60,France,2050,curtailment,0.0
61,France,2050,NewNuke,388153911.0734384
62,France,2050,HydroReservoir,9976438.60434547
63,France,2050,electrolysis_AEL,9862624.348289222
