YEAR_op;CCS1;CCS2;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;Solar;WindOffShore_flot;WindOnShore;curtailment;Alkaline electrolysis;PEM electrolysis;scenario
2020;0;0;411;0;0;0;0;0;0;0;0;ref
2030;0;0;0;525,3661772;0;-1,42E-14;0;0;0;0;0;ref
2040;0;0;75,04750028;570,8185646;0;9,113924051;0;50;100000;286,4973958;0;ref
2050;0;0;29,0758631;570,8185646;0;109,1139241;0;150;100000;1343,265533;0;ref
2020;;;411;;;0;0;0;100000;;;conv_SmrOnly
2030;;;525,3661772;;;0;0;0;-7,28E-12;;;conv_SmrOnly
2040;;;672,5131235;;;0;0;0;100000;;;conv_SmrOnly
2050;;;755;;;0;0;0;100000;;;conv_SmrOnly
2020;0;0;411;0;0;0;0;0;100000;;;SmrOnly
2030;0;0;-1,27E-21;525,3661772;0;0;0;0;100000;;;SmrOnly
2040;0;0;4,24E-22;672,5131235;-1,28E-12;0;0;0;7,28E-12;;;SmrOnly
2050;0;0;-2,12E-22;672,5131235;82,48687651;0;0;0;100000;;;SmrOnly
2020;0;0;411;0;0;0;0;0;0;0;0;Re_x2
2030;0;0;0;525,3661772;0;0;0;0;0;0;0;Re_x2
2040;0;0;101,1195899;525,3661772;0;20,23685448;0;100;100000;418,1794461;0;Re_x2
2050;0;0;29,45693168;525,3661772;0;220,2368545;0;300;100000;1366,910581;0;Re_x2
2020;0;0;411;0;0;0;0;0;0;0;0;Re_inf
2030;0;0;205,6692068;319,6969704;0;0;0;-4,08E-21;0;0;0;Re_inf
2040;0;0;291,6493472;319,6969704;0;0;0;117,4148691;100000;832,3214429;0;Re_inf
2050;0;0;0;319,6969704;0;2189,909446;0;575,41761;100000;1355,743484;0;Re_inf
2020;0;0;411;0;0;0;0;0;0;0;0;expensiveRE
2030;0;0;0;525,3661772;0;0;0;0;3,64E-12;0;0;expensiveRE
2040;0;0;0;672,5131235;0;0;0;0;100000;0;0;expensiveRE
2050;0;0;0;672,5131235;0;43,93752407;0;0;100000;1120,502219;0;expensiveRE
2020;0;0;411;0;0;0;0;0;0;0;0;BM_90
2030;0;0;0;525,3661772;0;0;0;0;0;0;0;BM_90
2040;0;0;69,97354323;576,1409014;0;11,57900657;0;50;100000;270,1524474;0;BM_90
2050;0;0;23,62907317;576,1409014;0;111,5790066;0;150;100000;1364,58046;0;BM_90
2020;0;0;411;0;0;0;0;0;0;0;0;BM_60
2030;0;0;0;525,3661772;0;0;0;0;0;0;0;BM_60
2040;0;0;74,78333432;573,6264851;0;0;0;50;100000;272,8240606;0;BM_60
2050;0;0;62,42338496;573,6264851;0;100;0;150;100000;1207,88116;0;BM_60
2020;0;0;411;0;0;0;0;0;0;0;0;woSMR_2030
2030;0;0;0;0;0;100;0;100;0;1323,610441;0;woSMR_2030
2040;0;0;0;0;0;150;0;150;100000;1866,593204;0;woSMR_2030
2050;0;0;0;0;0;150;1000;150;100000;1785,424924;0;woSMR_2030
2020;0;0;411;0;0;0;0;0;0;0;0;woSMR_2040
2030;0;0;525,3661772;0;0;0;0;1,42E-14;-3,64E-12;7,95E-15;0;woSMR_2040
2040;0;0;0;0;0;100;0;100;100000;1863,702009;0;woSMR_2040
2050;0;0;0;0;0;150;1000;150;100000;1863,702009;0;woSMR_2040
2020;0;0;411;0;0;0;0;0;0;0;0;woSMR_2050
2030;0;0;411;114,3661772;0;-1,42E-14;0;0;0;0;0;woSMR_2050
2040;0;0;411;114,3661772;0;50;0;100;100000;1335,827137;0;woSMR_2050
2050;0;0;0;0;0;150;1000;150;100000;1786,070337;0;woSMR_2050
2020;0;0;411;0;0;0;0;0;0;0;0;CO2_10
2030;0;0;205,5;411;0;0;0;0;0;0;0;CO2_10
2040;0;0;0;616,5;56,01312349;0;0;0;100000;0;0;CO2_10
2050;0;0;0;616,5;65,14026617;100;0;100;100000;967,6707888;0;CO2_10
2020;0;0;411;0;0;0;0;0;0;0;0;CO2_100
2030;0;0;616,5;0;0;0;0;0;0;0;0;CO2_100
2040;0;0;616,5;0;0;9,181296335;0;50;100000;1107,245868;0;CO2_100
2050;0;0;579,2805385;0;0;109,1812963;0;150;100000;1669,925928;0;CO2_100
2020;0;0;411;0;0;0;0;0;0;0;0;Cavern
2030;0;0;158,2579237;367,1082535;0;0;0;0;0;0;0;Cavern
2040;0;0;158,2579237;367,1082535;0;0;0;9,850597726;100000;944,291134;0;Cavern
2050;0;0;0;367,1082535;0;100;0;109,8505977;100000;2040,37204;0;Cavern
2020;0;0;411;0;0;0;0;0;0;0;0;CavernREinf
2030;0;0;411;114,3661772;0;0;0;0;0;0;0;CavernREinf
2040;0;0;411;114,3661772;0;0;0;9,066441714;100000;1134,50788;0;CavernREinf
2050;0;0;0;114,3661772;0;282,3600286;0;1340,467083;100000;1691,542653;0;CavernREinf
2020;0;0;411;0;0;0;0;0;0;0;0;Cavern2040
2030;0;0;151,189154;374,1770232;0;0;0;0;0;0;0;Cavern2040
2040;0;0;151,189154;374,1770232;0;0;0;55,76034786;100000;959,5711838;0;Cavern2040
2050;0;0;0;374,1770232;0;100;0;150;100000;2059,706211;0;Cavern2040
2020;0;0;411;0;0;0;0;0;0;0;0;gas_x1
2030;0;0;0;525,3661772;0;0;0;0;100000;0;0;gas_x1
2040;0;0;0;525,3661772;147,1469463;0;0;0;100000;0;0;gas_x1
2050;0;0;0;525,3661772;229,6338228;0;0;0;100000;0;0;gas_x1
2020;0;0;411;0;0;0;0;0;0;0;0;gas_x5
2030;0;0;411;0;0;50;0;100;0;851,2548332;0;gas_x5
2040;0;0;438,8419749;0;0;150;0;150;100000;1775,54645;0;gas_x5
2050;0;0;427,2585006;22,18096498;0;150;311,1596278;150;100000;1841,525464;0;gas_x5
2020;0;0;411;0;0;0;0;0;0;0;0;import_H2
2030;0;0;411;114,3661772;0;0;0;1,42E-14;0;0;0;import_H2
2040;0;0;330,2114056;114,3661772;0;0;0;0;100000;847,9944838;0;import_H2
2050;0;0;0;0;0;0;0;0;100000;939,8693786;0;import_H2
2020;0;0;411;0;0;0;0;0;0;0;0;cheap_H2
2030;0;0;0;0;0;1,42E-14;0;0;100000;0;0;cheap_H2
2040;0;0;0;0;0;0;0;0;100000;672,5131235;0;cheap_H2
2050;0;0;4,68E-31;0;0;0;0;0;100000;755;0;cheap_H2
;;;;;;;;;;939,8693786;;
