,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,P,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCH,0.0
4,Marseille,2020,HPE,0.0
5,Marseille,2030,HCE,-1.9984014443252826e-16
6,Marseille,2030,P,-3.996802888650565e-16
7,Marseille,2030,HPH,-8.437694987151189e-16
8,Marseille,2030,HCH,-8.437694987151189e-16
9,Marseille,2030,HPE,-1.9984014443252826e-16
10,Marseille,2040,HCE,1035.6702101699682
11,Marseille,2040,P,1035.6702101699682
12,Marseille,2040,HPH,1035.6702101699682
13,Marseille,2040,HCH,1035.6702101699682
14,Marseille,2040,HPE,1035.6702101699682
15,Marseille,2050,HCE,1162.7
16,Marseille,2050,P,1162.7
17,Marseille,2050,HPH,1162.7
18,Marseille,2050,HCH,1162.7
19,Marseille,2050,HPE,1162.7
