,AREA,YEAR_invest,STOCK_TECHNO,PmaxInvest_Dvar
0,Marseille,2010,saltCavernH2_G,0.0
1,Marseille,2010,Battery,-0.0
2,Marseille,2010,tankH2_G,-0.0
3,Marseille,2020,saltCavernH2_G,0.0
4,Marseille,2020,Battery,2.0141232427116035e-15
5,Marseille,2020,tankH2_G,-6.858721917812254e-15
6,Marseille,2030,saltCavernH2_G,0.0
7,Marseille,2030,Battery,-1.0658141036401503e-14
8,Marseille,2030,tankH2_G,2.543716808844627e-13
9,Marseille,2040,saltCavernH2_G,0.0
10,Marseille,2040,Battery,5.834193342192268e-15
11,Marseille,2040,tankH2_G,-8.802332884537252e-13
