,AREA,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,Marseille,2010,curtailment,100000.0
1,Marseille,2010,SMR,411.0
2,Marseille,2010,WindOffShore_flot,0.0
3,Marseille,2010,WindOnShore,0.0
4,Marseille,2010,Solar,0.0
5,Marseille,2020,curtailment,100000.0
6,Marseille,2020,SMR,114.36617720761512
7,Marseille,2020,WindOffShore_flot,0.0
8,Marseille,2020,WindOnShore,-0.0
9,Marseille,2020,Solar,-0.0
10,Marseille,2030,curtailment,100000.0
11,Marseille,2030,SMR,147.1469462793772
12,Marseille,2030,WindOffShore_flot,-1.6543612251060553e-24
13,Marseille,2030,WindOnShore,-1.4210854715202004e-14
14,Marseille,2030,Solar,-1.4210854715202004e-14
15,Marseille,2040,curtailment,100000.0
16,Marseille,2040,SMR,493.48687651300776
17,Marseille,2040,WindOffShore_flot,3.308722450212111e-24
18,Marseille,2040,WindOnShore,0.0
19,Marseille,2040,Solar,0.0
