,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCH,4.61513180500896e-16
1,Marseille,2020,HPE,4.61513180500896e-16
2,Marseille,2020,HPH,4.61513180500896e-16
3,Marseille,2020,HCE,4.61513180500896e-16
4,Marseille,2020,P,1.168726134454133e-15
5,Marseille,2030,HCH,0.0
6,Marseille,2030,HPE,0.0
7,Marseille,2030,HPH,0.0
8,Marseille,2030,HCE,0.0
9,Marseille,2030,P,0.0
10,Marseille,2040,HCH,2.8117431796465095e-15
11,Marseille,2040,HPE,2.8117431796465095e-15
12,Marseille,2040,HPH,2.8117431796465095e-15
13,Marseille,2040,HCE,0.0
14,Marseille,2040,P,0.0
15,Marseille,2050,HCH,0.0
16,Marseille,2050,HPE,0.0
17,Marseille,2050,HPH,0.0
18,Marseille,2050,HCE,0.0
19,Marseille,2050,P,0.0
