,AREA,YEAR_op,RESOURCES,turpeCostsVar_Pvar
0,Marseille,2020,gazBio,0.0
1,Marseille,2020,gaz,0.0
2,Marseille,2020,gazNat,0.0
3,Marseille,2020,electricity,2.760716290285233e-12
4,Marseille,2020,hydrogen,0.0
5,Marseille,2030,gazBio,0.0
6,Marseille,2030,gaz,0.0
7,Marseille,2030,gazNat,0.0
8,Marseille,2030,electricity,-1.4302120827190777e-11
9,Marseille,2030,hydrogen,0.0
10,Marseille,2040,gazBio,0.0
11,Marseille,2040,gaz,0.0
12,Marseille,2040,gazNat,0.0
13,Marseille,2040,electricity,-3.434368586073815e-12
14,Marseille,2040,hydrogen,0.0
15,Marseille,2050,gazBio,0.0
16,Marseille,2050,gaz,0.0
17,Marseille,2050,gazNat,0.0
18,Marseille,2050,electricity,1.5046034093439265e-12
19,Marseille,2050,hydrogen,0.0
