YEAR_op;CCS1;CCS2;SMR w/o CCUS;SMR + CCUS 50%;SMR + CCUS 90%;Solar;WindOffShore_flot;WindOnShore;curtailment;Alkaline electrolysis;PEM electrolysis;importsH2;importBM;import_elec;eSMR w/o CCUS;eSMR + CCUS 50%;Methane cracking;total_carbon;feedBiogas;feedRE;loadFac_elec;loadFac_SMR;loadFac_SMR+CCS50;loadFac_SMR+CCS90;carbon;totalProd;total_costs;costs;scenario;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;ref;;
2030;0;0;1,12E-15;4602,207712;0;-2,33E-14;0;1,15E-15;0;-7,99E-15;-1,62E-15;2,88E-17;0;7,54E-15;0;0;0;546065172;0;-1,44E-14;0;0;1;0;3,955095802;4602,207712;315556337,7;2,285543211;ref;;
2040;0;0;256,0870212;4885,869814;0;15,03103899;0;133,78855;0;745,6993402;0;3,55878595;0;1004,959541;0;0;0;646746847;0;96,63609675;0,297124849;0,389535669;0,977101535;0;3,659385776;5891,214962;430014952,9;2,43308585;ref;;
2050;0;0;53,66076828;2962,614067;0;179,954939;0;401,36565;0;3553,832537;0;43,69262815;453,8296946;4918,993287;0;0;0;274206698,9;345,4364586;377,4809019;0,302016717;0,210678474;0,592478896;0;1,381992696;6613,8;513342317,8;2,58722831;ref;;
2020;;;3595,237309;0;0;0;0;0;0;0;0;0;0;2,33E-16;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;142248121,9;1,318857048;conv_SmrOnly;;
2030;;;4602,207712;0;0;2,98E-15;1,08E-15;6,05E-17;0;0;0;0;0;-3,15E-15;0;0;0;1198929773;0;2,68E-15;0;1;0;0;8,683729262;4602,207712;265554355,4;1,923383819;conv_SmrOnly;;
2040;;;5891,214962;0;0;1,37E-16;-9,57E-17;3,13E-15;0;0;0;0;0;-9,93E-16;0;0;0;1534606273;0;2,06E-15;0;1;0;0;8,683020865;5891,214962;352241237,7;1,993031092;conv_SmrOnly;;
2050;;;6613,8;0;0;3,31E-16;4,97E-17;-6,07E-15;0;0;0;0;0;5,21E-16;0;0;0;1722762624;0;-3,69E-15;0;1;0;0;8,682666667;6613,8;444813054;2,241843086;conv_SmrOnly;;
2020;0;0;3595,237309;0;0;0;0;0;0;0;0;0;0;-3,16E-17;0;0;0;936678428,5;0;0;0;0,998577173;0;0;8,684437659;3595,237309;165079658,6;1,530540216;SmrOnly;;
2030;0;0;-1,94E-13;4602,207712;-6,35E-25;-1,69E-15;-2,92E-15;-1,90E-14;0;0;0;-2,76E-15;0;-2,60E-14;0;0;0;546065172;-5,89E-15;-1,53E-14;0;0;1;0;3,955095802;4602,207712;315556337,7;2,285543211;SmrOnly;;
