,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HCE,0.0
1,Marseille,2020,HPE,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,P,0.0
4,Marseille,2020,HCH,0.0
5,Marseille,2030,HCE,8.881784197001252e-16
6,Marseille,2030,HPE,8.881784197001252e-16
7,Marseille,2030,HPH,3.6286164867289985e-15
8,Marseille,2030,P,1.7763568394002505e-15
9,Marseille,2030,HCH,8.881784197001252e-16
10,Marseille,2040,HCE,683.559330063343
11,Marseille,2040,HPE,683.559330063343
12,Marseille,2040,HPH,683.559330063343
13,Marseille,2040,P,683.559330063343
14,Marseille,2040,HCH,683.559330063343
15,Marseille,2050,HCE,2582.89081403543
16,Marseille,2050,HPE,2582.89081403543
17,Marseille,2050,HPH,2582.89081403543
18,Marseille,2050,P,2582.89081403543
19,Marseille,2050,HCH,2582.89081403543
