,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,France,2020,CCG_H2,-0.0
1,France,2020,Solar,2807023087.9213915
2,France,2020,IntercoIn,55294611.649295576
3,France,2020,HydroRiver,739057053.1113689
4,France,2020,NewNuke,-0.0
5,France,2020,HydroReservoir,1007805072.4245939
6,France,2020,CCG,154224715.6286121
7,France,2020,TAC,279409097.7653199
8,France,2020,Coal_p,240984794.17756128
9,France,2020,WindOnShore,2321383201.203334
10,France,2020,electrolysis_AEL,62526932.97803973
11,France,2020,curtailment,0.0
12,France,2020,TAC_H2,-0.0
13,France,2020,IntercoOut,0.0
14,France,2020,WindOffShore,508607445.0907039
15,France,2020,OldNuke,0.0
16,France,2030,CCG_H2,-0.0
17,France,2030,Solar,997296180.2797134
18,France,2030,IntercoIn,138787807.316951
19,France,2030,HydroRiver,76118617.50153723
20,France,2030,NewNuke,1050549804.0736618
21,France,2030,HydroReservoir,98625625.63677506
22,France,2030,CCG,41262848.24793603
23,France,2030,TAC,24382592.146507658
24,France,2030,Coal_p,7502336.045079279
25,France,2030,WindOnShore,1247500524.175658
26,France,2030,electrolysis_AEL,112239724.17759976
27,France,2030,curtailment,0.0
28,France,2030,TAC_H2,-0.0
29,France,2030,IntercoOut,0.0
30,France,2030,WindOffShore,1515095165.9698634
31,France,2030,OldNuke,0.0
32,France,2040,CCG_H2,-0.0
33,France,2040,Solar,1279027603.9793348
34,France,2040,IntercoIn,124592707.99619749
35,France,2040,HydroRiver,70641926.35377875
36,France,2040,NewNuke,1792422518.1941605
37,France,2040,HydroReservoir,85846854.59741618
38,France,2040,CCG,5068309.414545812
39,France,2040,TAC,-0.0
40,France,2040,Coal_p,-0.0
41,France,2040,WindOnShore,1304702877.0514684
42,France,2040,electrolysis_AEL,159141810.95051447
43,France,2040,curtailment,0.0
44,France,2040,TAC_H2,-0.0
45,France,2040,IntercoOut,0.0
46,France,2040,WindOffShore,2134662471.7548027
47,France,2040,OldNuke,0.0
48,France,2050,CCG_H2,-0.0
49,France,2050,Solar,1205023960.4582806
50,France,2050,IntercoIn,95985891.38167118
51,France,2050,HydroRiver,54214959.69687033
52,France,2050,NewNuke,1453992672.6884656
53,France,2050,HydroReservoir,64486864.407839164
54,France,2050,CCG,3423968.2369896118
55,France,2050,TAC,-0.0
56,France,2050,Coal_p,-0.0
57,France,2050,WindOnShore,1473174297.5796614
58,France,2050,electrolysis_AEL,128648331.83040977
59,France,2050,curtailment,0.0
60,France,2050,TAC_H2,-0.0
61,France,2050,IntercoOut,0.0
62,France,2050,WindOffShore,1839278266.9705517
63,France,2050,OldNuke,0.0
