,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,France,2020,IntercoIn,55294611.64929556
1,France,2020,Solar,2807023087.9213915
2,France,2020,Coal_p,240984794.17756128
3,France,2020,CCG,154224715.6286121
4,France,2020,NewNuke,-0.0
5,France,2020,OldNuke,0.0
6,France,2020,WindOnShore,2321383201.203334
7,France,2020,TAC,279409097.7653199
8,France,2020,HydroReservoir,1007805072.4245939
9,France,2020,CCG_H2,-0.0
10,France,2020,curtailment,0.0
11,France,2020,HydroRiver,739057053.1113689
12,France,2020,TAC_H2,-0.0
13,France,2020,electrolysis_AEL,70409558.23516944
14,France,2020,WindOffShore,508607445.0907039
15,France,2020,IntercoOut,0.0
16,France,2030,IntercoIn,138787807.316951
17,France,2030,Solar,988781718.6916072
18,France,2030,Coal_p,7502336.045079279
19,France,2030,CCG,41262848.24793603
20,France,2030,NewNuke,1050549804.0736618
21,France,2030,OldNuke,0.0
22,France,2030,WindOnShore,1185020027.620239
23,France,2030,TAC,24382592.146507658
24,France,2030,HydroReservoir,98625625.63677506
25,France,2030,CCG_H2,-0.0
26,France,2030,curtailment,0.0
27,France,2030,HydroRiver,76118617.50153723
28,France,2030,TAC_H2,-0.0
29,France,2030,electrolysis_AEL,113719409.6400352
30,France,2030,WindOffShore,1421824249.8222456
31,France,2030,IntercoOut,0.0
32,France,2040,IntercoIn,124592707.99619748
33,France,2040,Solar,1234819028.4498174
34,France,2040,Coal_p,-0.0
35,France,2040,CCG,5068309.414545812
36,France,2040,NewNuke,1792422518.1941605
37,France,2040,OldNuke,0.0
38,France,2040,WindOnShore,1142725777.743518
39,France,2040,TAC,-0.0
40,France,2040,HydroReservoir,85846854.59741618
41,France,2040,CCG_H2,-0.0
42,France,2040,curtailment,0.0
43,France,2040,HydroRiver,70641926.35377875
44,France,2040,TAC_H2,625964.812012933
45,France,2040,electrolysis_AEL,139532158.92395723
46,France,2040,WindOffShore,1778366930.5104198
47,France,2040,IntercoOut,0.0
48,France,2050,IntercoIn,95985891.38167118
49,France,2050,Solar,1135656454.724579
50,France,2050,Coal_p,-0.0
51,France,2050,CCG,3423968.2369896118
52,France,2050,NewNuke,1453992672.6884656
53,France,2050,OldNuke,0.0
54,France,2050,WindOnShore,1168471066.5205512
55,France,2050,TAC,-0.0
56,France,2050,HydroReservoir,64486864.407839164
57,France,2050,CCG_H2,-0.0
58,France,2050,curtailment,0.0
59,France,2050,HydroRiver,54214959.69687033
60,France,2050,TAC_H2,422879.3979417144
61,France,2050,electrolysis_AEL,111732182.26177406
62,France,2050,WindOffShore,1445201993.6627235
63,France,2050,IntercoOut,0.0
