,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,France,2020,gazNat,224962571.93326873
1,France,2020,uranium,1930083941.4786062
2,France,2020,gaz,-0.0
3,France,2020,hydrogen,-0.0
4,France,2020,gazBio,-0.0
5,France,2020,electricity,-0.0
6,France,2030,gazNat,258486961.96631825
7,France,2030,uranium,1106792562.456168
8,France,2030,gaz,-0.0
9,France,2030,hydrogen,-0.0
10,France,2030,gazBio,319525069.13625306
11,France,2030,electricity,-0.0
12,France,2040,gazNat,9551942.986835497
13,France,2040,uranium,487948950.6318757
14,France,2040,gaz,-0.0
15,France,2040,hydrogen,-0.0
16,France,2040,gazBio,61447698.58970901
17,France,2040,electricity,-0.0
18,France,2050,gazNat,663173.7709650851
19,France,2050,uranium,226069818.52662352
20,France,2050,gaz,-0.0
21,France,2050,hydrogen,-0.0
22,France,2050,gazBio,50881195.99057108
23,France,2050,electricity,-0.0
