,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,France,2020,gazNat,226068692.16999683
1,France,2020,gaz,-0.0
2,France,2020,electricity,-0.0
3,France,2020,gazBio,-0.0
4,France,2020,uranium,1929876586.0453644
5,France,2020,hydrogen,-0.0
6,France,2030,gazNat,40772307.82881505
7,France,2030,gaz,-0.0
8,France,2030,electricity,-0.0
9,France,2030,gazBio,568373761.4044222
10,France,2030,uranium,1108444878.2360039
11,France,2030,hydrogen,-0.0
12,France,2040,gazNat,-0.0
13,France,2040,gaz,-0.0
14,France,2040,electricity,-0.0
15,France,2040,gazBio,76595132.72982025
16,France,2040,uranium,487985170.09858066
17,France,2040,hydrogen,-0.0
18,France,2050,gazNat,-0.0
19,France,2050,gaz,-0.0
20,France,2050,electricity,-0.0
21,France,2050,gazBio,52125425.82487628
22,France,2050,uranium,226070329.0311081
23,France,2050,hydrogen,-0.0
