,AREA,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,France,2020,WindOnShore,0.0
1,France,2020,Solar,0.0
2,France,2020,IntercoOut,-0.0
3,France,2020,TAC,0.0
4,France,2020,curtailment,4781997.394814769
5,France,2020,electrolysis_AEL,0.0
6,France,2020,TAC_H2,0.0
7,France,2020,CCG,0.0
8,France,2020,HydroReservoir,0.0
9,France,2020,CCG_H2,0.0
10,France,2020,OldNuke,5790208779.013984
11,France,2020,HydroRiver,0.0
12,France,2020,IntercoIn,43037471.3350268
13,France,2020,WindOffShore,0.0
14,France,2020,NewNuke,0.0
15,France,2020,Coal_p,17270117.94099189
16,France,2030,WindOnShore,0.0
17,France,2030,Solar,0.0
18,France,2030,IntercoOut,-0.0
19,France,2030,TAC,0.0
20,France,2030,curtailment,3448188.7823177287
21,France,2030,electrolysis_AEL,0.0
22,France,2030,TAC_H2,0.0
23,France,2030,CCG,0.0
24,France,2030,HydroReservoir,0.0
25,France,2030,CCG_H2,0.0
26,France,2030,OldNuke,3109037461.6423464
27,France,2030,HydroRiver,0.0
28,France,2030,IntercoIn,1613337502.8507972
29,France,2030,WindOffShore,0.0
30,France,2030,NewNuke,0.0
31,France,2030,Coal_p,35344280.59647327
32,France,2040,WindOnShore,0.0
33,France,2040,Solar,0.0
34,France,2040,IntercoOut,-0.0
35,France,2040,TAC,0.0
36,France,2040,curtailment,277119150.0392786
37,France,2040,electrolysis_AEL,0.0
38,France,2040,TAC_H2,0.0
39,France,2040,CCG,0.0
40,France,2040,HydroReservoir,0.0
41,France,2040,CCG_H2,0.0
42,France,2040,OldNuke,1053289253.4748598
43,France,2040,HydroRiver,0.0
44,France,2040,IntercoIn,2102399986.8965092
45,France,2040,WindOffShore,0.0
46,France,2040,NewNuke,0.0
47,France,2040,Coal_p,-0.0
48,France,2050,WindOnShore,0.0
49,France,2050,Solar,0.0
50,France,2050,IntercoOut,-0.0
51,France,2050,TAC,0.0
52,France,2050,curtailment,142152045.89001912
53,France,2050,electrolysis_AEL,0.0
54,France,2050,TAC_H2,0.0
55,France,2050,CCG,0.0
56,France,2050,HydroReservoir,0.0
57,France,2050,CCG_H2,0.0
58,France,2050,OldNuke,342727862.77856517
59,France,2050,HydroRiver,0.0
60,France,2050,IntercoIn,1612779808.487651
61,France,2050,WindOffShore,0.0
62,France,2050,NewNuke,0.0
63,France,2050,Coal_p,-0.0
