,AREA,YEAR_op,TIMESTAMP,carbon_Pvar
0,France,2020,1,-0.0
1,France,2020,2,-0.0
2,France,2020,3,-0.0
3,France,2020,4,-0.0
4,France,2020,5,-0.0
5,France,2020,6,-0.0
6,France,2020,7,-0.0
7,France,2020,8,-0.0
8,France,2020,9,-0.0
9,France,2020,10,-0.0
10,France,2020,11,-0.0
11,France,2020,12,-0.0
12,France,2020,13,-0.0
13,France,2020,14,-0.0
14,France,2020,15,-0.0
15,France,2020,16,-0.0
16,France,2020,17,-0.0
17,France,2020,18,-0.0
18,France,2020,19,-0.0
19,France,2020,20,-0.0
20,France,2020,21,-0.0
21,France,2020,22,-0.0
22,France,2020,23,-0.0
23,France,2020,24,-0.0
24,France,2020,25,-0.0
25,France,2020,26,-0.0
26,France,2020,27,-0.0
27,France,2020,28,-0.0
28,France,2020,29,-0.0
29,France,2020,30,-0.0
30,France,2020,31,-0.0
31,France,2020,32,-0.0
32,France,2020,33,-0.0
33,France,2020,34,-0.0
34,France,2020,35,-0.0
35,France,2020,36,-0.0
36,France,2020,37,-0.0
37,France,2020,38,-0.0
38,France,2020,39,-0.0
39,France,2020,40,-0.0
40,France,2020,41,-0.0
41,France,2020,42,-0.0
42,France,2020,43,-0.0
43,France,2020,44,257189.51291144016
44,France,2020,45,199424.43304502795
45,France,2020,46,141659.35317861574
46,France,2020,47,83894.27331220351
47,France,2020,48,26129.1934457913
48,France,2020,49,-0.0
49,France,2020,50,-0.0
50,France,2020,51,-0.0
51,France,2020,52,-0.0
52,France,2020,53,-0.0
53,France,2020,54,-0.0
54,France,2020,55,-0.0
55,France,2020,56,1491793.6824726397
56,France,2020,57,2291242.3370690835
57,France,2020,58,1401170.1994877516
58,France,2020,59,847221.1713740458
59,France,2020,60,789456.0915076336
60,France,2020,61,731691.0116412214
61,France,2020,62,673925.9317748093
62,France,2020,63,616160.8519083969
63,France,2020,64,558395.7720419848
64,France,2020,65,500630.6921755725
65,France,2020,66,442865.6123091603
66,France,2020,67,2259207.83687453
67,France,2020,68,3278794.3726453134
68,France,2020,69,1979779.793287641
69,France,2020,70,904986.251240458
70,France,2020,71,847221.1713740458
71,France,2020,72,1740394.6512827622
72,France,2020,73,1250566.4469578837
73,France,2020,74,904986.251240458
74,France,2020,75,847221.1713740458
75,France,2020,76,789456.0915076336
76,France,2020,77,731691.0116412214
77,France,2020,78,673925.9317748093
78,France,2020,79,1102640.5261811726
79,France,2020,80,3714985.3930230425
80,France,2020,81,4797490.544839244
81,France,2020,82,3882185.207328053
82,France,2020,83,2777901.067616538
83,France,2020,84,2222944.5149768926
84,France,2020,85,1944233.0020608134
85,France,2020,86,1869653.6421251139
86,France,2020,87,1929962.0265908528
87,France,2020,88,1821349.3353485945
88,France,2020,89,1238407.2077730182
89,France,2020,90,1730235.7816859933
90,France,2020,91,4110225.2486457154
91,France,2020,92,4954397.464143156
92,France,2020,93,3306841.292504042
93,France,2020,94,1684582.22933225
94,France,2020,95,912909.293940341
95,France,2020,96,2751226.7148024216
96,France,2020,97,2965486.0162292025
97,France,2020,98,1421604.0227684125
98,France,2020,99,915750.6964146193
99,France,2020,100,789456.0915076336
100,France,2020,101,731691.0116412214
101,France,2020,102,673925.9317748093
102,France,2020,103,616160.8519083969
