,AREA,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDem_Dvar
0,France,2010,2010,WindOnShore,0.0
1,France,2010,2010,Solar,0.0
2,France,2010,2010,IntercoOut,0.0
3,France,2010,2010,TAC,0.0
4,France,2010,2010,curtailment,98481.13781056216
5,France,2010,2010,electrolysis_AEL,0.0
6,France,2010,2010,TAC_H2,0.0
7,France,2010,2010,CCG,97250.0
8,France,2010,2010,HydroReservoir,85000.0
9,France,2010,2010,CCG_H2,0.0
10,France,2010,2010,OldNuke,38750.0
11,France,2010,2010,HydroRiver,89000.0
12,France,2010,2010,IntercoIn,0.0
13,France,2010,2010,WindOffShore,0.0
14,France,2010,2010,NewNuke,0.0
15,France,2010,2010,Coal_p,0.0
16,France,2010,2020,WindOnShore,0.0
17,France,2010,2020,Solar,0.0
18,France,2010,2020,IntercoOut,0.0
19,France,2010,2020,TAC,3550.0
20,France,2010,2020,curtailment,0.0
21,France,2010,2020,electrolysis_AEL,0.0
22,France,2010,2020,TAC_H2,0.0
23,France,2010,2020,CCG,0.0
24,France,2010,2020,HydroReservoir,0.0
25,France,2010,2020,CCG_H2,0.0
26,France,2010,2020,OldNuke,10000.0
27,France,2010,2020,HydroRiver,0.0
28,France,2010,2020,IntercoIn,0.0
29,France,2010,2020,WindOffShore,0.0
30,France,2010,2020,NewNuke,0.0
31,France,2010,2020,Coal_p,3000.0
32,France,2010,2030,WindOnShore,0.0
33,France,2010,2030,Solar,0.0
34,France,2010,2030,IntercoOut,0.0
35,France,2010,2030,TAC,3250.0
36,France,2010,2030,curtailment,0.0
37,France,2010,2030,electrolysis_AEL,912.5
38,France,2010,2030,TAC_H2,0.0
39,France,2010,2030,CCG,2250.0
40,France,2010,2030,HydroReservoir,0.0
41,France,2010,2030,CCG_H2,0.0
42,France,2010,2030,OldNuke,37450.0
43,France,2010,2030,HydroRiver,0.0
44,France,2010,2030,IntercoIn,0.0
45,France,2010,2030,WindOffShore,2600.0
46,France,2010,2030,NewNuke,0.0
47,France,2010,2030,Coal_p,500.0
48,France,2010,2040,WindOnShore,24885.0
49,France,2010,2040,Solar,22270.0
50,France,2010,2040,IntercoOut,0.0
51,France,2010,2040,TAC,0.0
52,France,2010,2040,curtailment,1518.8621894378448
53,France,2010,2040,electrolysis_AEL,0.0
54,France,2010,2040,TAC_H2,0.0
55,France,2010,2040,CCG,0.0
56,France,2010,2040,HydroReservoir,0.0
57,France,2010,2040,CCG_H2,0.0
58,France,2010,2040,OldNuke,13800.0
59,France,2010,2040,HydroRiver,0.0
60,France,2010,2040,IntercoIn,0.0
61,France,2010,2040,WindOffShore,0.0
62,France,2010,2040,NewNuke,0.0
63,France,2010,2040,Coal_p,0.0
64,France,2020,2010,WindOnShore,0.0
65,France,2020,2010,Solar,0.0
66,France,2020,2010,IntercoOut,0.0
67,France,2020,2010,TAC,0.0
68,France,2020,2010,curtailment,0.0
69,France,2020,2010,electrolysis_AEL,0.0
70,France,2020,2010,TAC_H2,0.0
71,France,2020,2010,CCG,0.0
72,France,2020,2010,HydroReservoir,0.0
73,France,2020,2010,CCG_H2,0.0
74,France,2020,2010,OldNuke,0.0
75,France,2020,2010,HydroRiver,0.0
76,France,2020,2010,IntercoIn,0.0
77,France,2020,2010,WindOffShore,0.0
78,France,2020,2010,NewNuke,0.0
79,France,2020,2010,Coal_p,0.0
80,France,2020,2020,WindOnShore,0.0
81,France,2020,2020,Solar,0.0
82,France,2020,2020,IntercoOut,0.0
83,France,2020,2020,TAC,0.0
84,France,2020,2020,curtailment,0.0
85,France,2020,2020,electrolysis_AEL,0.0
86,France,2020,2020,TAC_H2,0.0
87,France,2020,2020,CCG,0.0
88,France,2020,2020,HydroReservoir,0.0
89,France,2020,2020,CCG_H2,0.0
90,France,2020,2020,OldNuke,100000.0
91,France,2020,2020,HydroRiver,0.0
92,France,2020,2020,IntercoIn,0.0
93,France,2020,2020,WindOffShore,0.0
94,France,2020,2020,NewNuke,0.0
95,France,2020,2020,Coal_p,0.0
96,France,2020,2030,WindOnShore,0.0
97,France,2020,2030,Solar,0.0
98,France,2020,2030,IntercoOut,0.0
99,France,2020,2030,TAC,0.0
100,France,2020,2030,curtailment,0.0
101,France,2020,2030,electrolysis_AEL,0.0
102,France,2020,2030,TAC_H2,0.0
103,France,2020,2030,CCG,0.0
104,France,2020,2030,HydroReservoir,0.0
105,France,2020,2030,CCG_H2,0.0
106,France,2020,2030,OldNuke,0.0
107,France,2020,2030,HydroRiver,0.0
108,France,2020,2030,IntercoIn,0.0
109,France,2020,2030,WindOffShore,0.0
110,France,2020,2030,NewNuke,0.0
111,France,2020,2030,Coal_p,0.0
112,France,2020,2040,WindOnShore,0.0
113,France,2020,2040,Solar,0.0
114,France,2020,2040,IntercoOut,0.0
115,France,2020,2040,TAC,0.0
116,France,2020,2040,curtailment,0.0
117,France,2020,2040,electrolysis_AEL,1680.4924453727501
118,France,2020,2040,TAC_H2,0.0
119,France,2020,2040,CCG,0.0
120,France,2020,2040,HydroReservoir,0.0
121,France,2020,2040,CCG_H2,0.0
122,France,2020,2040,OldNuke,0.0
123,France,2020,2040,HydroRiver,0.0
124,France,2020,2040,IntercoIn,0.0
125,France,2020,2040,WindOffShore,0.0
126,France,2020,2040,NewNuke,0.0
127,France,2020,2040,Coal_p,0.0
128,France,2030,2010,WindOnShore,0.0
129,France,2030,2010,Solar,0.0
130,France,2030,2010,IntercoOut,0.0
131,France,2030,2010,TAC,0.0
132,France,2030,2010,curtailment,0.0
133,France,2030,2010,electrolysis_AEL,0.0
134,France,2030,2010,TAC_H2,0.0
135,France,2030,2010,CCG,0.0
136,France,2030,2010,HydroReservoir,0.0
137,France,2030,2010,CCG_H2,0.0
138,France,2030,2010,OldNuke,0.0
139,France,2030,2010,HydroRiver,0.0
140,France,2030,2010,IntercoIn,0.0
141,France,2030,2010,WindOffShore,0.0
142,France,2030,2010,NewNuke,0.0
143,France,2030,2010,Coal_p,0.0
144,France,2030,2020,WindOnShore,0.0
145,France,2030,2020,Solar,0.0
146,France,2030,2020,IntercoOut,0.0
147,France,2030,2020,TAC,0.0
148,France,2030,2020,curtailment,0.0
149,France,2030,2020,electrolysis_AEL,0.0
150,France,2030,2020,TAC_H2,0.0
151,France,2030,2020,CCG,0.0
152,France,2030,2020,HydroReservoir,0.0
153,France,2030,2020,CCG_H2,0.0
154,France,2030,2020,OldNuke,0.0
155,France,2030,2020,HydroRiver,0.0
156,France,2030,2020,IntercoIn,0.0
157,France,2030,2020,WindOffShore,0.0
158,France,2030,2020,NewNuke,0.0
159,France,2030,2020,Coal_p,0.0
160,France,2030,2030,WindOnShore,0.0
161,France,2030,2030,Solar,0.0
162,France,2030,2030,IntercoOut,0.0
163,France,2030,2030,TAC,0.0
164,France,2030,2030,curtailment,0.0
165,France,2030,2030,electrolysis_AEL,0.0
166,France,2030,2030,TAC_H2,0.0
167,France,2030,2030,CCG,0.0
168,France,2030,2030,HydroReservoir,0.0
169,France,2030,2030,CCG_H2,0.0
170,France,2030,2030,OldNuke,84500.0
171,France,2030,2030,HydroRiver,0.0
172,France,2030,2030,IntercoIn,0.0
173,France,2030,2030,WindOffShore,0.0
174,France,2030,2030,NewNuke,0.0
175,France,2030,2030,Coal_p,0.0
176,France,2030,2040,WindOnShore,0.0
177,France,2030,2040,Solar,0.0
178,France,2030,2040,IntercoOut,0.0
179,France,2030,2040,TAC,0.0
180,France,2030,2040,curtailment,0.0
181,France,2030,2040,electrolysis_AEL,0.0
182,France,2030,2040,TAC_H2,0.0
183,France,2030,2040,CCG,0.0
184,France,2030,2040,HydroReservoir,0.0
185,France,2030,2040,CCG_H2,0.0
186,France,2030,2040,OldNuke,0.0
187,France,2030,2040,HydroRiver,0.0
188,France,2030,2040,IntercoIn,0.0
189,France,2030,2040,WindOffShore,0.0
190,France,2030,2040,NewNuke,0.0
191,France,2030,2040,Coal_p,0.0
192,France,2040,2010,WindOnShore,0.0
193,France,2040,2010,Solar,0.0
194,France,2040,2010,IntercoOut,0.0
195,France,2040,2010,TAC,0.0
196,France,2040,2010,curtailment,0.0
197,France,2040,2010,electrolysis_AEL,0.0
198,France,2040,2010,TAC_H2,0.0
199,France,2040,2010,CCG,0.0
200,France,2040,2010,HydroReservoir,0.0
201,France,2040,2010,CCG_H2,0.0
202,France,2040,2010,OldNuke,0.0
203,France,2040,2010,HydroRiver,0.0
204,France,2040,2010,IntercoIn,0.0
205,France,2040,2010,WindOffShore,0.0
206,France,2040,2010,NewNuke,0.0
207,France,2040,2010,Coal_p,0.0
208,France,2040,2020,WindOnShore,0.0
209,France,2040,2020,Solar,0.0
210,France,2040,2020,IntercoOut,0.0
211,France,2040,2020,TAC,0.0
212,France,2040,2020,curtailment,0.0
213,France,2040,2020,electrolysis_AEL,0.0
214,France,2040,2020,TAC_H2,0.0
215,France,2040,2020,CCG,0.0
216,France,2040,2020,HydroReservoir,0.0
217,France,2040,2020,CCG_H2,0.0
218,France,2040,2020,OldNuke,0.0
219,France,2040,2020,HydroRiver,0.0
220,France,2040,2020,IntercoIn,0.0
221,France,2040,2020,WindOffShore,0.0
222,France,2040,2020,NewNuke,0.0
223,France,2040,2020,Coal_p,0.0
224,France,2040,2030,WindOnShore,0.0
225,France,2040,2030,Solar,0.0
226,France,2040,2030,IntercoOut,0.0
227,France,2040,2030,TAC,0.0
228,France,2040,2030,curtailment,0.0
229,France,2040,2030,electrolysis_AEL,0.0
230,France,2040,2030,TAC_H2,0.0
231,France,2040,2030,CCG,0.0
232,France,2040,2030,HydroReservoir,0.0
233,France,2040,2030,CCG_H2,0.0
234,France,2040,2030,OldNuke,0.0
235,France,2040,2030,HydroRiver,0.0
236,France,2040,2030,IntercoIn,0.0
237,France,2040,2030,WindOffShore,0.0
238,France,2040,2030,NewNuke,0.0
239,France,2040,2030,Coal_p,0.0
240,France,2040,2040,WindOnShore,0.0
241,France,2040,2040,Solar,0.0
242,France,2040,2040,IntercoOut,0.0
243,France,2040,2040,TAC,0.0
244,France,2040,2040,curtailment,100000.0
245,France,2040,2040,electrolysis_AEL,0.0
246,France,2040,2040,TAC_H2,0.0
247,France,2040,2040,CCG,0.0
248,France,2040,2040,HydroReservoir,0.0
249,France,2040,2040,CCG_H2,0.0
250,France,2040,2040,OldNuke,100000.0
251,France,2040,2040,HydroRiver,0.0
252,France,2040,2040,IntercoIn,0.0
253,France,2040,2040,WindOffShore,0.0
254,France,2040,2040,NewNuke,0.0
255,France,2040,2040,Coal_p,0.0
