,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazBio,-0.0
1,Marseille,2020,gazNat,34330520.63839719
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,electricity,-0.0
4,Marseille,2020,hydrogen,-0.0
5,Marseille,2030,gazBio,-0.0
6,Marseille,2030,gazNat,89791071.14803359
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,electricity,-0.0
9,Marseille,2030,hydrogen,-0.0
10,Marseille,2040,gazBio,13152024.722054224
11,Marseille,2040,gazNat,20109305.96386033
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,electricity,7432586.095462362
14,Marseille,2040,hydrogen,1629265.9594629803
15,Marseille,2050,gazBio,18390711.333306972
16,Marseille,2050,gazNat,5056904.557928222
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,electricity,4612169.542709695
19,Marseille,2050,hydrogen,2521705.6908194125
