,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,France,2020,WindOnShore,2321383201.203334
1,France,2020,Solar,2807023087.9213915
2,France,2020,IntercoOut,0.0
3,France,2020,TAC,279409097.7653199
4,France,2020,curtailment,0.0
5,France,2020,electrolysis_AEL,70409558.23516944
6,France,2020,TAC_H2,-0.0
7,France,2020,CCG,154224715.6286121
8,France,2020,HydroReservoir,1007805072.4245939
9,France,2020,CCG_H2,-0.0
10,France,2020,OldNuke,0.0
11,France,2020,HydroRiver,739057053.1113689
12,France,2020,IntercoIn,55294611.64929557
13,France,2020,WindOffShore,508607445.0907039
14,France,2020,NewNuke,-0.0
15,France,2020,Coal_p,240984794.17756128
16,France,2030,WindOnShore,1185020027.620239
17,France,2030,Solar,988781718.6916072
18,France,2030,IntercoOut,0.0
19,France,2030,TAC,24382592.146507658
20,France,2030,curtailment,0.0
21,France,2030,electrolysis_AEL,113291992.96177946
22,France,2030,TAC_H2,-0.0
23,France,2030,CCG,41262848.24793603
24,France,2030,HydroReservoir,98625625.63677506
25,France,2030,CCG_H2,-0.0
26,France,2030,OldNuke,0.0
27,France,2030,HydroRiver,76118617.50153723
28,France,2030,IntercoIn,138589583.9710752
29,France,2030,WindOffShore,1421824249.8222456
30,France,2030,NewNuke,1050549804.0736618
31,France,2030,Coal_p,7502336.045079279
32,France,2040,WindOnShore,1142725777.743518
33,France,2040,Solar,1234819028.4498174
34,France,2040,IntercoOut,0.0
35,France,2040,TAC,-0.0
36,France,2040,curtailment,0.0
37,France,2040,electrolysis_AEL,139438758.2004269
38,France,2040,TAC_H2,630299.322385203
39,France,2040,CCG,5068309.414545812
40,France,2040,HydroReservoir,85846854.59741618
41,France,2040,CCG_H2,-0.0
42,France,2040,OldNuke,0.0
43,France,2040,HydroRiver,70641926.35377875
44,France,2040,IntercoIn,124592707.99619748
45,France,2040,WindOffShore,1778366930.5104198
46,France,2040,NewNuke,1792422518.1941605
47,France,2040,Coal_p,-0.0
48,France,2050,WindOnShore,1168471066.5205512
49,France,2050,Solar,1135656454.724579
50,France,2050,IntercoOut,0.0
51,France,2050,TAC,-0.0
52,France,2050,curtailment,0.0
53,France,2050,electrolysis_AEL,111782065.39406998
54,France,2050,TAC_H2,425807.6378386238
55,France,2050,CCG,3423968.2369896118
56,France,2050,HydroReservoir,64486864.407839164
57,France,2050,CCG_H2,-0.0
58,France,2050,OldNuke,0.0
59,France,2050,HydroRiver,54214959.69687033
60,France,2050,IntercoIn,95985891.38167118
61,France,2050,WindOffShore,1445201993.6627235
62,France,2050,NewNuke,1453992672.6884656
63,France,2050,Coal_p,-0.0
