,AREA,YEAR_op,HORAIRE,max_PS_Dvar
0,Marseille,2020,HPE,0.0
1,Marseille,2020,HCH,0.0
2,Marseille,2020,HPH,0.0
3,Marseille,2020,HCE,0.0
4,Marseille,2020,P,0.0
5,Marseille,2030,HPE,1381.392723207845
6,Marseille,2030,HCH,1381.392723207845
7,Marseille,2030,HPH,1381.392723207845
8,Marseille,2030,HCE,1381.392723207845
9,Marseille,2030,P,1353.2046432078448
10,Marseille,2040,HPE,2747.791203707866
11,Marseille,2040,HCH,2747.791203707866
12,Marseille,2040,HPH,2747.791203707866
13,Marseille,2040,HCE,2747.791203707866
14,Marseille,2040,P,2696.791203707866
15,Marseille,2050,HPE,2760.957252092965
16,Marseille,2050,HCH,2760.957252092965
17,Marseille,2050,HPH,2760.957252092965
18,Marseille,2050,HCE,2760.957252092965
19,Marseille,2050,P,2602.791499523092
