,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gaz,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,hydrogen,-0.0
3,Marseille,2020,gazBio,-0.0
4,Marseille,2020,gazNat,34330520.63839719
5,Marseille,2030,gaz,-0.0
6,Marseille,2030,electricity,34733887.3275362
7,Marseille,2030,hydrogen,996.3770448659205
8,Marseille,2030,gazBio,37753350.22105246
9,Marseille,2030,gazNat,28511279.67207166
10,Marseille,2040,gaz,-0.0
11,Marseille,2040,electricity,10082936.577166772
12,Marseille,2040,hydrogen,-0.0
13,Marseille,2040,gazBio,18457703.619190395
14,Marseille,2040,gazNat,584429.551522288
15,Marseille,2050,gaz,-0.0
16,Marseille,2050,electricity,5258432.6869812105
17,Marseille,2050,hydrogen,3321501.5011486495
18,Marseille,2050,gazBio,7845946.488999541
19,Marseille,2050,gazNat,-0.0
